Breakfast Delivery Model from State Agency Tracking-Original,School ID,School Name,District ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,NCES ID
,10045,Amity Creek Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97703,437 NW Wall Street,,,Public-Regular School,N,,N,,,,,,179,139,25,15,40,1428,1105,5203,2533,469,737,857,1206,,170,170,,,,,,,,OR,2533,14.9,1206,7.094117647,OR@10045@0902001,SY16-17,,40,0.223463687,,Public,,,,,,,
BIC,10036,Bear Creek Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,51 SE 13th Street,,,Public-Regular School,Y,,N,,,,,,637,22,615,0,615,85825,0,3028,85825,87234,0,3080,87234,,170,170,,,,,,,,OR,85825,504.852941176,87234,513.141176471,OR@10036@0902001,SY16-17,,615,0.965921241,,Public,,,,BIC,,,
,10027,Bend High School,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,230 NE 6th Street,,,Public-Regular School,N,,N,,,,,,2192,1391,637,164,801,37013,10800,26547,47813,28444,7718,10806,36162,,172,172,,,,,,,,OR,47813,277.982558140,36162,210.244186047,OR@10027@0902001,SY16-17,,801,0.365419708,,Public,,,,,,,
,10037,Buckingham Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,62560 Hamby Road,,,Public-Regular School,N,,N,,,,,,636,397,159,80,239,20232,7363,20503,27595,8110,3372,5263,11482,,170,170,,,,,,,,OR,27595,162.323529412,11482,67.541176471,OR@10037@0902001,SY16-17,,239,0.375786164,,Public,,,,,,,
,10031,Cascade Middle School,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97702,19619 Mountaineer Way,,,Public-Regular School,N,,N,,,,,,685,499,143,43,186,13436,4213,21733,17649,6494,2439,2119,8933,,172,171,,,,,,,,OR,17649,103.210526316,8933,51.936046512,OR@10031@0902001,SY16-17,,186,0.271532847,,Public,,,,,,,
,10038,Elk Meadow Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97702,60880 Brookswood Blvd,,,Public-Regular School,N,,N,,,,,,605,335,225,45,270,28146,5732,21399,33878,10626,2585,3131,13211,,169,168,,,,,,,,OR,33878,201.654761905,13211,78.171597633,OR@10038@0902001,SY16-17,,270,0.446280992,,Public,,,,,,,
BIC,13454,Ensworth Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97701,2150 NE Daggett Lane,,,Public-Regular School,Y,,N,,,,,,225,8,217,0,217,30315,0,1069,30315,25835,0,910,25835,,170,170,,,,,,,,OR,30315,178.323529412,25835,151.970588235,OR@13454@0902001,SY16-17,,217,0.965938058,,Public,,,,BIC,,,
,10032,High Desert Middle School,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97702,61000 Diamondback Lane,,,Public-Regular School,N,,N,,,,,,876,528,271,77,348,25578,6757,22166,32335,7422,2371,1519,9793,,172,171,,,,,,,,OR,32335,189.093567251,9793,56.936046512,OR@10032@0902001,SY16-17,,348,0.397260274,,Public,,,,,,,
,12304,High Lakes Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97703,2500 NW High Lakes Loop,,,Public-Regular School,N,,N,,,,,,653,580,63,10,73,6106,1056,27252,7162,1709,488,3504,2197,,170,170,,,,,,,,OR,7162,42.129411765,2197,12.923529412,OR@12304@0902001,SY16-17,,73,0.111791730,,Public,,,,,,,
,10040,Highland Elementary,0902001,Bend/LaPine SD,OR,Deschutes,Bend,97703,701 NW Newport Avenue,,,Public-Regular School,N,,N,,,,,,394,357,28,9,37,2987,851,18118,3838,1411,182,2670,1593,,170,170,,,,,,,,OR,3838,22.576470588,1593,9.370588235,OR@10040@0902001,SY16-17,,37,0.093908629,,Public,,,,,,,
