State-Reporting,Street Address-Line 1,City,State-Physical,Zip Code,School Name,District ID,School ID,District Name,County,Street Address-Line 2,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Level-Original,School Type-Original
OH,100 Tiger Drive, Circleville, Ohio, 43113,Circleville Elementary School,043760,00027201,Circleville City Sd,Pickaway,,Y,,N,,,9/1/2016,9,2016,1109,,545,,,11980,0,3262,,12042,0,3279,,,18.5,18.5,,,,,,,,,11980,647.567567568,12042,650.918918919,OH@00027201@043760,390437600403,SY16-17,,545,0.785986091,Primary,Public,,,,,,,Elementary School,Public School
OH,3846 Vance Rd, Dayton, Ohio, 45439,Frank Nicholas Elementary School,045054,00027219,West Carrollton,Montgomery,,Y,,N,,,9/1/2016,9,2016,217,,114,,,2485,0,473,,2435,0,464,,,18.5,18.5,,,,,,,,,2485,134.324324324,2435,131.621621622,OH@00027219@045054,390450501965,SY16-17,,114,0.840094659,Primary,Public,,,,,,,Elementary School,Public School
OH,1293 Ardoon St, Cleveland Heights, Ohio, 44121,Noble Elementary School,043794,00027250,Cleveland Heights-University Heights,Cuyahoga,,Y,,N,,,9/1/2016,9,2016,425,,235,,,4342,0,1439,,2187,0,725,,,18.5,18.5,,,,,,,,,4342,234.702702703,2187,118.216216216,OH@00027250@043794,390437900574,SY16-17,,235,0.751081128,Primary,Public,,,,,,,Elementary School,Public School
OH,130 Minerva St, Tiffin, Ohio, 44883,Noble Elementary School,044891,00027268,Tiffin City Sd,Seneca,,N,,N,,,9/1/2016,9,2016,419,,189,37,,2560,491,1454,,674,30,57,,,18.5,18.5,,,,,,,,,3051,164.918918919,704,38.054054054,OH@00027268@044891,390448901766,SY16-17,,226,0.539379475,Primary,Public,,,,,,,Elementary School,Public School
OH,10553 Haller St, Defiance, Ohio, 43512,Noble Elementary School,046722,00027300,Northeastern Local Sd,Defiance,,N,,N,,,9/1/2016,9,2016,194,,46,9,,635,129,1376,,71,1,8,,,18.5,18.5,,,,,,,,,764,41.297297297,72,3.891891892,OH@00027300@046722,390467202633,SY16-17,,55,0.283505155,Primary,Public,,,,,,,Elementary School,Public School
OH,6285 Renninger Rd, Akron, Ohio, 44319,Nolley Elementary School,050005,00027318,Manchester Local Sd,Summit,,N,,N,,,9/1/2016,9,2016,471,,98,18,,1167,235,2024,,469,59,343,,,18.5,18.5,,,,,,,,,1402,75.783783784,528,28.540540541,OH@00027318@050005,390500003795,SY16-17,,116,0.246284501,Primary,Public,,,,,,,Elementary School,Public School
OH,73 Leonard Ave, Northfield, Ohio, 44067,Nordonia Middle School,050047,00027326,Nordonia Hills,Summit,,N,,N,,,9/1/2016,9,2016,574,,88,21,,1257,280,2771,,324,17,96,,,18.5,18.5,,,,,,,,,1537,83.081081081,341,18.432432432,OH@00027326@050047,390500403811,SY16-17,,109,0.189895470,Middle,Public,,,,,,,Middle School,Public School
OH,8006 S Bedford Rd, Macedonia, Ohio, 44056,Nordonia High School,050047,00027334,Nordonia Hills,Summit,,N,,N,,,9/1/2016,9,2016,1246,,157,48,,2052,607,5626,,754,125,394,,,18.5,18.5,,,,,,,,,2659,143.729729730,879,47.513513514,OH@00027334@050047,390500403812,SY16-17,,205,0.164526485,High,Public,,,,,,,High School,Public School
OH,401 Normandy Ridge Rd, Dayton, Ohio, 45459,Normandy Elementary School,043737,00027342,Centerville City Sd,Montgomery,,N,,N,,,9/1/2016,9,2016,456,,100,21,,1467,270,2663,,727,157,298,,,18.5,18.5,,,,,,,,,1737,93.891891892,884,47.783783784,OH@00027342@043737,390437300273,SY16-17,,121,0.265350877,Primary,Public,,,,,,,Elementary School,Public School
OH,26920 Normandy Rd, Bay Village, Ohio, 44140,Normandy Elementary School,043547,00027359,Bay Village,Cuyahoga,,N,,N,,,9/1/2016,9,2016,495,,21,9,,231,99,2652,,0,0,0,,,18.5,18.5,,,,,,,,,330,17.837837838,0,0,OH@00027359@043547,390435400119,SY16-17,,30,0.060606061,Primary,Public,,,,,,,Elementary School,Public School
