Lunch Meals-Reduced,Lunch Meals-Free,Enrollment-Reduced,Enrollment-Free,Breakfast Meals-Reduced,Breakfast Meals-Free,Enrollment-Paid,Breakfast Meals-Free and Reduced,State-Physical,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Breakfast Meals-Paid,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,District Name,School ID,School Name,Street Address-Line 1,Street Address-Line 2,City,Zip Code,County,School Type-Original,School Level-Original,Claim Date,Enrollment-Total,Enrollment-Free and Reduced,Operating Days-Lunch Only,Lunch Meals-Free and Reduced,Lunch Meals-Paid,ISP
,,,,,,11,295,MT,Y,,N,,,5,2019,110,,13,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,256,19.692307692,295,22.692307692,MT@0766@0577,300186000004,SY18-19,,30,0.727272727,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,5/1/2019,41,30,13,256,96,0.359
,,,,,,11,108,MT,Y,,N,,,4,2019,41,,16,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,95,5.9375,108,6.75,MT@0766@0577,300186000004,SY18-19,,30,0.730769231,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,4/1/2019,41,30,16,95,35,0.359
,,,,,,11,300,MT,Y,,N,,,3,2019,112,,15,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,302,20.133333333,300,20,MT@0766@0577,300186000004,SY18-19,,31,0.727710843,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,3/1/2019,42,31,15,302,113,0.359
,,,,,,11,260,MT,Y,,N,,,2,2019,98,,13,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,284,21.846153846,260,20,MT@0766@0577,300186000004,SY18-19,,31,0.728205128,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,2/1/2019,42,31,13,284,106,0.359
,,,,,,11,345,MT,Y,,N,,,1,2019,129,,18,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,316,17.555555556,345,19.166666667,MT@0766@0577,300186000004,SY18-19,,31,0.726436782,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,1/1/2019,42,31,18,316,119,0.359
,,,,,,11,217,MT,Y,,N,,,12,2018,82,,12,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,210,17.5,217,18.083333333,MT@0766@0577,300186000004,SY18-19,,31,0.726643599,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,12/1/2018,42,31,12,210,79,0.359
,,,,,,11,330,MT,Y,,N,,,11,2018,124,,16,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,276,17.25,330,20.625,MT@0766@0577,300186000004,SY18-19,,31,0.728232190,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,11/1/2018,42,31,16,276,103,0.359
,,,,,,11,375,MT,Y,,N,,,10,2018,140,,18,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,305,16.944444444,375,20.833333333,MT@0766@0577,300186000004,SY18-19,,31,0.727923628,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,10/1/2018,42,31,18,305,114,0.359
,,,,,,115,135,MT,Y,,N,,,9,2018,50,,15,,"Breakfast After The Bell , Cafeteria ",,,,,,,MT,100,6.666666667,135,9,MT@0766@0577,300186000004,SY18-19,,31,0.724637681,High,Public,,,,Other,,,0577,Alberton K-12 Schools,0766,Alberton High School,306 Railroad Ave,,Alberton,59820,Mineral,Public,High,9/1/2018,42,31,15,100,38,0.359
,,,,,,36,640,MT,Y,,N,,,5,2019,436,,13,,Cafeteria ,,,,,,,MT,594,45.692307692,640,49.230769231,MT@0765@0577,300186000003,SY18-19,,53,0.594594595,Primary,Public,,,,Cafeteria ,,,0577,Alberton K-12 Schools,0765,Alberton School,306 Railroad Ave,,Alberton,59820,Mineral,Public,Elementary,5/1/2019,89,53,13,594,405,0.3718
,,,,,,34,667,MT,Y,,N,,,4,2019,454,,16,,Cafeteria ,,,,,,,MT,696,43.5,667,41.6875,MT@0765@0577,300186000003,SY18-19,,51,0.594871795,Primary,Public,,,,Cafeteria ,,,0577,Alberton K-12 Schools,0765,Alberton School,306 Railroad Ave,,Alberton,59820,Mineral,Public,Elementary,4/1/2019,85,51,16,696,474,0.3718
