School Name,District ID,School ID,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
River Valley High School,4381,5593,Colorado River Union High School District,,Mohave,,86440,,,,Regular School,N,,,,,,,,,,,,,23252,4200,6800,,7297,1123,619,,167,167,167,,Cafeteria GNG,,,,,,,AZ,27452,164.383233533,8420,50.419161677,AZ@5593@4381,040008200006,SY16-17,,,0.58,,Public,,,,Other,,
Mohave High School,4381,5592,Colorado River Union High School District,,Mohave,,86442,,,,Regular School,N,,,,,,,,,,,,,53095,5157,4245,,24879,1425,1048,,167,167,167,,Cafeteria GNG,,,,,,,AZ,58252,348.814371257,26304,157.508982036,AZ@5592@4381,040008201457,SY16-17,,,0.56,,Public,,,,Other,,
PPEP TEC - Celestino Fernandez Learning Center,4431,5873,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",,Pima,,85714,,,,Charter School,Y,,N,N,,,,,,,,,,17613,0,386,,2707,0,60,,167,167,167,,Cafeteria,,,,,,,AZ,17613,105.467065868,2707,16.209580838,AZ@5873@4431,040008301011,SY16-17,,,0.76,,Charter,,,,Cafeteria,,
PPEP TEC - Alice S. Paul Learning Center,4431,5876,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",,Pinal,,85122,,,,Charter School,Y,,N,N,,,,,,,,,,8352,0,183,,7384,0,162,,167,167,167,,Cafeteria,,,,,,,AZ,8352,50.011976048,7384,44.215568862,AZ@5876@4431,040008301014,SY16-17,,,0.82,,Charter,,,,Cafeteria,,
PPEP TEC - Raul H. Castro Learning Center,4431,5877,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",,Cochise,,85607,,,,Charter School,Y,,N,N,,,,,,,,,,17172,0,375,,11708,0,255,,167,167,167,,Cafeteria,,,,,,,AZ,17172,102.826347305,11708,70.107784431,AZ@5877@4431,040008301015,SY16-17,,,0.82,,Charter,,,,Cafeteria,,
PPEP TEC - Cesar Chavez Learning Center,4431,5878,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",,Yuma,,85349,,,,Charter School,Y,,N,N,,,,,,,,,,11864,0,260,,5264,0,115,,167,167,167,,Cafeteria BIC,,,,,,,AZ,11864,71.041916168,5264,31.520958084,AZ@5878@4431,040008301016,SY16-17,,,0.98,,Charter,,,,Other,,
PPEP TEC - Jose Yepez Learning Center,4431,5879,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",,Yuma,,85350,,,,Charter School,Y,,N,N,,,,,,,,,,8045,0,176,,5804,0,126,,167,167,167,,Cafeteria BIC,,,,,,,AZ,8045,48.173652695,5804,34.754491018,AZ@5879@4431,040008301017,SY16-17,,,0.98,,Charter,,,,Other,,
PPEP TEC - Colin L. Powell Learning Center,4431,5880,"Portable Practical Educational Preparation, Inc. (PPEP, Inc.)",,Cochise,,85635,,,,Charter School,Y,,N,N,,,,,,,,,,8828,0,193,,3424,0,77,,167,167,167,,Cafeteria BIC,,,,,,,AZ,8828,52.862275449,3424,20.502994012,AZ@5880@4431,040008301018,SY16-17,,,0.95,,Charter,,,,Other,,
Mingus Springs Charter School,4493,6133,Mingus Springs Charter School,,Yavapai,,86323,,,,Charter School,N,,,,,,,,,,,,,9433,1112,2184,,2886,418,107,,167,167,167,,Cafeteria,,,,,,,AZ,10545,63.143712575,3304,19.784431138,AZ@6133@4493,040009001066,SY16-17,,,0.62,,Charter,,,,Cafeteria,,
Franklin Phonetic Primary School,4495,6140,"Franklin Phonetic Primary School, Inc.",,Yavapai,,86314,,,,Charter School,N,,,,,,,,,,,,,25254,4062,10698,,23359,3361,21860,,167,167,167,,Cafeteria BIC,,,,,,,AZ,29316,175.544910180,26720,160,AZ@6140@4495,040009201075,SY16-17,,,0.5,,Charter,,,,Other,,
