School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,ISP,NCES ID,State-Physical,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,District ID,District Name,School ID,School Name,Claim Date,Enrollment-Free,Enrollment-Reduced,Enrollment-Total,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Street Address-Line 1,Street Address-Line 2,City,Zip Code,County
SY18-19,,338,0.90375,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,10,2018,,,,2642,0,282,,,18,18,,,,,,,,,KY,3615,200.833333333,2642,146.777777778,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,10/1/2018,338,0,374,3615,0,385,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,359,0.981405458,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,9,2018,,,,3018,0,57,,,19,19,,,,,,,,,KY,4064,213.894736842,3018,158.842105263,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,9/1/2018,359,0,366,4064,0,77,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,264,0.981304528,Primary,,,,,,,,,210174000335,,Primary,,Y,,N,,,8,2018,,,,1525,0,29,,,12,12,,,,,,,,,KY,2362,196.833333333,1525,127.083333333,KY@1002@10072,10072,Erlanger-Elsmere Board of Education,1002,Arnett Elementary School,8/1/2018,264,0,269,2362,0,45,3552 KIMBERLY DR,,ERLANGER,41018-2434,KENTON COUNTY
SY18-19,,279,0.903669725,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,5,2019,,,,3095,0,330,,,18,18,,,,,,,,,KY,4334,240.777777778,3095,171.944444444,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,5/1/2019,279,0,309,4334,0,462,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,280,0.903705347,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,4,2019,,,,2865,0,305,,,17,17,,,,,,,,,KY,4073,239.588235294,2865,168.529411765,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,4/1/2019,280,0,310,4073,0,434,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,283,0.903730910,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,3,2019,,,,3150,0,336,,,20,20,,,,,,,,,KY,4675,233.75,3150,157.5,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,3/1/2019,283,0,313,4675,0,498,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,280,0.903626732,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,2,2019,,,,2898,0,309,,,19,19,,,,,,,,,KY,4435,233.421052632,2898,152.526315789,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,2/1/2019,280,0,310,4435,0,473,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,278,0.903674960,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,1,2019,,,,2625,0,280,,,17,17,,,,,,,,,KY,3959,232.882352941,2625,154.411764706,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,1/1/2019,278,0,308,3959,0,422,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,273,0.903805814,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,12,2018,,,,2058,0,219,,,13,13,,,,,,,,,KY,3016,232,2058,158.307692308,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,12/1/2018,273,0,302,3016,0,321,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,277,0.903740876,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,11,2018,,,,2723,0,290,,,17,17,,,,,,,,,KY,3962,233.058823529,2723,160.176470588,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,11/1/2018,277,0,306,3962,0,422,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,277,0.903740976,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,10,2018,,,,2991,0,319,,,18,18,,,,,,,,,KY,4131,229.5,2991,166.166666667,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,10/1/2018,277,0,306,4131,0,440,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,298,0.981411863,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,9,2018,,,,3336,0,63,,,19,19,,,,,,,,,KY,4699,247.315789474,3336,175.578947368,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,9/1/2018,298,0,304,4699,0,89,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,290,0.981317935,Primary,,,,,,,,,210174000336,,Primary,,Y,,N,,,8,2018,,,,1957,0,37,,,12,12,,,,,,,,,KY,2889,240.75,1957,163.083333333,KY@1004@10072,10072,Erlanger-Elsmere Board of Education,1004,Howell Elementary School,8/1/2018,290,0,296,2889,0,55,909 CENTRAL ROW RD,,ELSMERE,41018-2309,KENTON COUNTY
SY18-19,,287,0.903773208,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,5,2019,,,,2500,0,266,,,18,18,,,,,,,,,KY,4527,251.5,2500,138.888888889,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,5/1/2019,287,0,318,4527,0,482,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,287,0.903779322,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,4,2019,,,,2560,0,273,,,17,17,,,,,,,,,KY,4161,244.764705882,2560,150.588235294,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,4/1/2019,287,0,318,4161,0,443,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,289,0.903757172,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,3,2019,,,,2715,0,289,,,20,20,,,,,,,,,KY,4883,244.15,2715,135.75,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,3/1/2019,289,0,320,4883,0,520,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,287,0.903728546,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,2,2019,,,,2405,0,256,,,19,19,,,,,,,,,KY,4581,241.105263158,2405,126.578947368,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,2/1/2019,287,0,318,4581,0,488,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,282,0.903746915,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,1,2019,,,,2198,0,234,,,17,17,,,,,,,,,KY,4028,236.941176471,2198,129.294117647,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,1/1/2019,282,0,312,4028,0,429,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,280,0.903768116,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,12,2018,,,,1743,0,186,,,13,13,,,,,,,,,KY,3118,239.846153846,1743,134.076923077,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,12/1/2018,280,0,310,3118,0,332,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,280,0.903662597,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,11,2018,,,,2334,0,249,,,17,17,,,,,,,,,KY,4071,239.470588235,2334,137.294117647,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,11/1/2018,280,0,310,4071,0,434,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,286,0.903685092,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,10,2018,,,,2450,0,261,,,18,18,,,,,,,,,KY,4316,239.777777778,2450,136.111111111,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,10/1/2018,286,0,316,4316,0,460,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,316,0.981474104,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,9,2018,,,,2877,0,55,,,19,19,,,,,,,,,KY,4927,259.315789474,2877,151.421052632,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,9/1/2018,316,0,322,4927,0,93,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,311,0.981384716,Primary,,,,,,,,,210174000334,,Primary,,Y,,N,,,8,2018,,,,1589,0,30,,,12,12,,,,,,,,,KY,3005,250.416666667,1589,132.416666667,KY@1003@10072,10072,Erlanger-Elsmere Board of Education,1003,Lindeman Elementary School,8/1/2018,311,0,317,3005,0,57,558 ERLANGER RD,,ERLANGER,41018-1305,KENTON COUNTY
SY18-19,,553,0.903753351,Other,,,,,,,,,210174000337,,Other,,Y,,N,,,5,2019,,,,4701,0,501,,,18,18,,,,,,,,,KY,6742,374.555555556,4701,261.166666667,KY@1005@10072,10072,Erlanger-Elsmere Board of Education,1005,Lloyd High School,5/1/2019,553,0,612,6742,0,718,450 BARTLETT AVE,,ERLANGER,41018-1686,KENTON COUNTY
