Unique ID,District Name,School Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,School ID
DE@SD87@GD328,Christina,Leasure Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,498,,479,0,,,,,5122,,,,3009,,17,17,,GNG,,,,,,,DE,5122,301.294117647,3009,177,,SY16-17,,479,,,,,,,GNG,,,GD328,SD87
DE@SD88@GD328,Christina,Maclary Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,390,,200,25,,,,,3323,,,,2063,,17,17,,GNG,,,,,,,DE,3323,195.470588235,2063,121.352941176,,SY16-17,,225,,,,,,,GNG,,,GD328,SD88
DE@SD89@GD328,Christina,Marshall Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,781,,222,40,,,,,3873,,,,1604,,17,18,,BIC,,,,,,,DE,3873,215.166666667,1604,94.352941176,,SY16-17,,262,,,,,,,BIC,,,GD328,SD89
DE@SD90@GD328,Christina,McVey Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,410,,394,0,,,,,4102,,,,1653,,18,17,,GNG,,,,,,,DE,4102,241.294117647,1653,91.833333333,,SY16-17,,394,,,,,,,GNG,,,GD328,SD90
DE@SD91@GD328,Christina,Networks,,,,,,,,,,,,,Y,10/1/2016,10,2016,110,,60,8,,,,,439,,,,465,,17,17,,GNG,,,,,,,DE,439,25.823529412,465,27.352941176,,SY16-17,,68,,,,,,,GNG,,,GD328,SD91
DE@SD92@GD328,Christina,Newark High,,,,,,,,,,,,,,10/1/2016,10,2016,1190,,539,41,,,,,7888,,,,3805,,17,17,,GNG,,,,,,,DE,7888,464,3805,223.823529412,,SY16-17,,580,,,,,,,GNG,,,GD328,SD92
DE@SD93@GD328,Christina,Oberle Elememtary,,,,,,,,,Y,,,,,10/1/2016,10,2016,719,,692,0,,,,,8026,,,,12000,,17,17,,BIC,,,,,,,DE,8026,472.117647059,12000,705.882352941,,SY16-17,,692,,,,,,,BIC,,,GD328,SD93
DE@SD94@GD328,Christina,Palmer Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,291,,280,0,,,,,3669,,,,3451,,17,17,,BIC,,,,,,,DE,3669,215.823529412,3451,203,,SY16-17,,280,,,,,,,BIC,,,GD328,SD94
DE@SD95@GD328,Christina,Pulaski Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,370,,356,0,,,,,4853,,,,4168,,17,18,,BIC,,,,,,,DE,4853,269.611111111,4168,245.176470588,,SY16-17,,356,,,,,,,BIC,,,GD328,SD95
DE@SD96@GD328,Christina,Sarah Pyle Academy,,,,,,,,,Y,,,,,10/1/2016,10,2016,143,,137,0,,,,,468,,,,223,,17,18,,GNG,,,,,,,DE,468,26,223,13.117647059,,SY16-17,,137,,,,,,,GNG,,,GD328,SD96
DE@SD97@GD328,Christina,Shue Medill Middle,,,,,,,,,,,,,Y,10/1/2016,10,2016,900,,451,52,,,,,8266,,,,5505,,17,17,,BIC,,,,,,,DE,8266,486.235294118,5505,323.823529412,,SY16-17,,503,,,,,,,BIC,,,GD328,SD97
DE@SD98@GD328,Christina,Smith Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,550,,529,0,,,,,4915,,,,1272,,17,17,,GNG,,,,,,,DE,4915,289.117647059,1272,74.823529412,,SY16-17,,529,,,,,,,GNG,,,GD328,SD98
DE@SD99@GD328,Christina,Stubbs Elementary,,,,,,,,,Y,,,,,10/1/2016,10,2016,339,,326,0,,,,,4284,,,,4539,,17,17,,BIC,,,,,,,DE,4284,252,4539,267,,SY16-17,,326,,,,,,,BIC,,,GD328,SD99
DE@SD100@GD328,Christina,West Park Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,368,,131,15,,,,,2128,,,,1256,,17,18,,BIC,,,,,,,DE,2128,118.222222222,1256,73.882352941,,SY16-17,,146,,,,,,,BIC,,,GD328,SD100
DE@SD101@GD328,Christina,Wilson Elementary,,,,,,,,,,,,,,10/1/2016,10,2016,403,,225,15,,,,,3313,,,,2163,,17,17,,BIC,,,,,,,DE,3313,194.882352941,2163,127.235294118,,SY16-17,,240,,,,,,,BIC,,,GD328,SD101
DE@SD102@GD329,Colonial,Carrie Downie,,,,,,,,,Y,,,,,10/1/2016,10,2016,400,,400,0,,,,,5304,,,,4233,,19,19,,GNG,,,,,,,DE,5304,279.157894737,4233,222.789473684,,SY16-17,,400,,,,,,,GNG,,,GD329,SD102
DE@SD103@GD329,Colonial,Castle Hills,,,,,,,,,Y,,,,,10/1/2016,10,2016,623,,623,0,,,,,8422,,,,7196,,19,19,,BIC,,,,,,,DE,8422,443.263157895,7196,378.736842105,,SY16-17,,623,,,,,,,BIC,,,GD329,SD103
DE@SD111@GD329,Colonial,Pleasanville,,,,,,,,,Y,,,,,10/1/2016,10,2016,478,,478,0,,,,,6248,,,,5292,,19,19,,GNG,,,,,,,DE,6248,328.842105263,5292,278.526315789,,SY16-17,,478,,,,,,,GNG,,,GD329,SD111
DE@SD115@GD329,Colonial,Wilmington Manor,,,,,,,,,Y,,,,,10/1/2016,10,2016,324,,324,0,,,,,4325,,,,3507,,19,19,,GNG,,,,,,,DE,4325,227.631578947,3507,184.578947368,,SY16-17,,324,,,,,,,GNG,,,GD329,SD115
DE@SD107@GD329,Colonial,K. H. Wilbur,,,,,,,,,Y,,,,,10/1/2016,10,2016,1124,,1124,0,,,,,14532,,,,11270,,19,19,,GNG,,,,,,,DE,14532,764.842105263,11270,593.157894737,,SY16-17,,1124,,,,,,,GNG,,,GD329,SD107
