BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,NCES ID,District ID,District Name,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Meals-Paid,Lunch Meals-Paid,Enrollment-Paid,Enrollment-Total,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),Provision 3 (Y/N),Provision 2 (Y/N),Provision 1 (Y/N),CEP (Y/N),School Type-Original,School Level-Original,Street Address-Line 2,Street Address-Line 1,Zip Code,City,County,State-Physical,School Name,School ID,School Year,Operating Days-Breakfast Only,Operating Days-Lunch Only,Enrollment-Free,Enrollment-Reduced,Breakfast Meals-Free,Lunch Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Reduced,Enrollment-Free and Reduced,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced
,,,,,,,,,506,,,0802-000,EUREKA SPRINGS,AR@000@0802-000,196.502857143,34388,279.651428571,48939,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,175,175,416,90,28956,40652,5432,8287,,,,
,,,,,,,,,599,,,6055-000,EXALT ACADEMY OF SW,AR@000@6055-000,155.540816327,30486,233.413265306,45749,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,196,196,304,295,30486,45749,0,0,,,,
,,,,,,,,,1058,,,7202-000,FARMINGTON,AR@000@7202-000,357.117977528,63567,645.067415730,114822,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,793,265,51951,89532,11616,25290,,,,
,,,,,,,,,4165,,,7203-000,FAYETTEVILLE,AR@000@7203-000,1357.622340426,255233,2497.835106383,469593,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,188,188,3412,753,223752,395328,31481,74265,,,,
,,,,,,,,,690,,,4501-000,FLIPPIN,AR@000@4501-000,227.111702128,42697,395.010638298,74262,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,188,188,574,116,37889,64086,4808,10176,,,,
,,,,,,,,,836,,,2002-000,FORDYCE,AR@000@2002-000,271.837078652,48387,404.741573034,72044,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,178,178,836,0,48387,72044,0,0,,,,
,,,,,,,,,383,,,4102-000,FOREMAN,AR@000@4102-000,136.259887006,24118,258.593220339,45771,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,177,177,311,72,21026,38956,3092,6815,,,,
,,,,,,,,,2616,,,6201-000,FORREST CITY,AR@000@6201-000,1597.776536313,286002,2011.262569832,360016,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,179,179,2616,0,286002,360016,0,0,,,,
,,,,,,,,,11732,,,6601-000,FORT SMITH,AR@000@6601-000,4085.949720670,731385,7680.681564246,1374842,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,179,179,10365,1367,656597,1239032,74788,135810,,,,
,,,,,,,,,768,,,4603-000,FOUKE,AR@000@4603-000,267.367816092,46522,461.344827586,80274,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY17-18,174,174,581,187,37461,62479,9061,17795,,,,
