Unique ID,School ID,District ID,School Name,District Name,State-Physical,County,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data
ME@562@561,562,561,Morse Memorial School,RSU 03/MSAD 03,ME,Waldo,Brooks,04921,PO Box 37 Brooks,,PR-5,Public,Y,,,,,10/1/2017,10,2017,121,,93,0,,1454,0,429,,1295,0,383,,,18,18,,,,,,,,,ME,1454,80.777777778,1295,71.944444444,231152000472,SY17-18,,93,0.772172066,Primary,Public,,,,,,
ME@568@561,568,561,Mt View Elementary School,RSU 03/MSAD 03,ME,Waldo,Thorndike,04986,573 Mount View Road Thorndike,,KG-5,Public,Y,,,,,10/1/2017,10,2017,247,,191,0,,2771,0,819,,2744,0,816,,,18,18,,,,,,,,,ME,2771,153.944444444,2744,152.444444444,231152000475,SY17-18,,191,0.771866295,Primary,Public,,,,,,
ME@567@561,567,561,Mt View High School,RSU 03/MSAD 03,ME,Waldo,Thorndike,04986,577 Mount View Road Thorndike,,9-12,Public,Y,,,,,10/1/2017,10,2017,384,,296,0,,3905,0,1153,,2764,0,816,,,18,18,,,,,,,,,ME,3905,216.944444444,2764,153.555555556,231152000473,SY17-18,,296,0.772044286,High,Public,,,,,,
ME@569@561,569,561,Mt View Middle School,RSU 03/MSAD 03,ME,Waldo,Thorndike,04986,575 Mount View Road Thorndike,,6-8,Public,Y,,,,,10/1/2017,10,2017,294,,227,0,,3567,0,1054,,2855,0,843,,,18,18,,,,,,,,,ME,3567,198.166666667,2855,158.611111111,231152000474,SY17-18,,227,0.771910842,Middle,Public,,,,,,
ME@565@561,565,561,Troy Central School,RSU 03/MSAD 03,ME,Waldo,Troy,04987,733 Bangor Road Troy,,KG-5,Public,Y,,,,,10/1/2017,10,2017,91,,70,0,,1009,0,298,,931,0,275,,,18,18,,,,,,,,,ME,1009,56.055555556,931,51.722222222,231152000476,SY17-18,,70,0.771996940,Primary,Public,,,,,,
ME@566@561,566,561,Unity Elementary School,RSU 03/MSAD 03,ME,Waldo,Unity,04988,84 School Street Unity,,,Public,Y,,,,,10/1/2017,10,2017,34,,26,0,,401,0,118,,401,0,118,,,19,19,,,,,,,,,ME,401,21.105263158,401,21.105263158,231152000477,SY17-18,,26,0.772639692,,Public,,,,,,
ME@563@561,563,561,Walker Memorial School,RSU 03/MSAD 03,ME,Waldo,Liberty,04949,33 West Main Street Liberty,,PR-5,Public,Y,,,,,10/1/2017,10,2017,96,,74,0,,1055,0,311,,722,0,213,,,17,17,,,,,,,,,ME,1055,62.058823529,722,42.470588235,231152000478,SY17-18,,74,0.772327965,Primary,Public,,,,,,
ME@1448@1446,1448,1446,Carrie Ricker School,RSU 04,ME,Kennebec,Litchfield,04350,573 Richmond Road Litchfield,,3-5,Public,,,,,,10/1/2017,10,2017,351,,165,22,,1921,209,1238,,1104,92,386,,,18,18,,,,,,,,,ME,2130,118.333333333,1196,66.444444444,231478323124,SY17-18,,187,,Primary,Public,,,,,,
ME@273@1446,273,1446,Libby-Tozier School,RSU 04,ME,Kennebec,Litchfield,04350,466 Academy Road Litchfield,,PR-2,Public,,,,,,10/1/2017,10,2017,169,,77,7,,938,90,603,,576,76,321,,,18,18,,,,,,,,,ME,1028,57.111111111,652,36.222222222,231478300205,SY17-18,,84,,Primary,Public,,,,,,
ME@1057@1446,1057,1446,Oak Hill High School,RSU 04,ME,Androscoggin,Wales,04280,PO Box 400 Wales,,9-12,Public,,,,,,10/1/2017,10,2017,447,,182,17,,1625,136,905,,639,38,118,,,19,19,,,,,,,,,ME,1761,92.684210526,677,35.631578947,231478300207,SY17-18,,199,,High,Public,,,,,,
