State-Physical,School Name,School ID,District Name,District ID,County,Claim Date,Unique ID,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Operating Days-Lunch Only,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Operating Days-Breakfast Only,Street Address-Line 1,City,Zip Code,ISP
,Howard C Reiche Community Sch,380,Portland Public Schools,364,Cumberland,10/1/2018,ME@380@364,,PK-5,Public,Y,,,,,10,2018,448,,448,0,,,,,,,,,,,,,ME,6331,287.772727273,5216,237.090909091,230993000273,SY18-19,,448,1,Primary,Public,,,,,,,6331,0,0,22,5216,0,0,22,166 Brackett ST,Portland,4102,0.390350877
,Harrison Lyseth Elem School,373,Portland Public Schools,364,Cumberland,10/1/2018,ME@373@364,,PK-5,Public,,,,,,10,2018,515,,155,22,,,,,,,,,,,,,ME,2890,131.363636364,1364,62,230993000272,SY18-19,,177,,Primary,Public,,,,,,,2587,303,2149,22,1261,103,479,22,175 Auburn ST,Portland,4103,0.241779497
,East End Community School,385,Portland Public Schools,364,Cumberland,10/1/2018,ME@385@364,,PK-5,Public,Y,,,,,10,2018,401,,401,0,,,,,,,,,,,,,ME,7251,329.590909091,7876,358,230993000279,SY18-19,,401,1,Primary,Public,,,,,,,7251,0,0,22,7876,0,0,22,195 North ST,Portland,4101,0.477832512
,Deering High School,379,Portland Public Schools,364,Cumberland,10/1/2018,ME@379@364,,9-12,Public,,,,,,10,2018,942,,436,43,,,,,,,,,,,,,ME,5822,264.636363636,5238,238.090909091,230993000269,SY18-19,,479,,High,Public,,,,,,,5393,429,1326,22,4886,352,1727,22,370 Stevens Avenue,Portland,4103,0.340587595
,Cliff Island School,367,Portland Public Schools,364,Cumberland,10/1/2018,ME@367@364,,KG-5,Public,,,,,,10,2018,2,,0,0,,,,,,,,,,,,,ME,0,0,0,0,230993000267,SY18-19,,0,,Primary,Public,,,,,,,0,0,36,22,0,0,0,22,PO Box 8 Cliff,Island,4019,0
,Casco Bay High School,384,Portland Public Schools,364,Cumberland,10/1/2018,ME@384@364,,9-12,Public,,,,,,10,2018,391,,142,18,,,,,,,,,,,,,ME,1960,89.090909091,744,33.818181818,230993000603,SY18-19,,160,,High,Public,,,,,,,1721,239,794,22,628,116,119,22,196 Allen Avenue,Portland,4103,0.240310078
,Amanda C Rowe School,369,Portland Public Schools,364,Cumberland,10/1/2018,ME@369@364,,PK-5,Public,,,,,,10,2018,429,,153,25,,,,,,,,,,,,,ME,2219,100.863636364,2486,113,,SY18-19,,178,,Primary,Public,,,,,,,1904,315,1219,22,2103,383,3072,22,23 Orono RD,Portland,4102,0.264501160
,Riverton School,381,Portland Public Schools,364,Cumberland,9/1/2018,ME@381@364,,PK-5,Public,Y,,,,,9,2018,432,,432,0,,,,,,,,,,,,,ME,6371,335.315789474,6258,329.368421053,230993000286,SY18-19,,432,1,Primary,Public,,,,,,,6371,0,0,19,6258,0,0,19,1600 Forest AV,Portland,4103,0.515222482
,Presumpscot School,372,Portland Public Schools,364,Cumberland,9/1/2018,ME@372@364,,PK-5,Public,Y,,,,,9,2018,249,,249,0,,,,,,,,,,,,,ME,3192,168,4014,211.263157895,230993001007,SY18-19,,249,1,Primary,Public,,,,,,,3192,0,0,19,4014,0,0,19,69 Presumpscot ST,Portland,4103,0.480158730
,Portland High School,378,Portland Public Schools,364,Cumberland,9/1/2018,ME@378@364,,9-12,Public,,,,,,9,2018,773,,274,39,,,,,,,,,,,,,ME,3521,185.315789474,2973,156.473684211,230993000284,SY18-19,,313,,High,Public,,,,,,,3206,315,633,19,2743,230,1498,19,284 Cumberland AV,Portland,4101,0.219543147
,Peaks Island School,371,Portland Public Schools,364,Cumberland,9/1/2018,ME@371@364,,PK-5,Public,,,,,,9,2018,40,,10,3,,,,,,,,,,,,,ME,138,7.263157895,10,0.526315789,230993000283,SY18-19,,13,,Primary,Public,,,,,,,130,8,128,19,10,0,4,19,4 Church AV Peaks,Island,4108,0.025641026
,Ocean Avenue,386,Portland Public Schools,364,Cumberland,9/1/2018,ME@386@364,,KG-5,Public,,,,,,9,2018,350,,134,10,,,,,,,,,,,,,ME,2037,107.210526316,752,39.578947368,230993023131,SY18-19,,144,,Primary,Public,,,,,,,1940,97,1044,19,723,29,128,19,150 Ocean AV,Portland,4103,0.212765957
,Lyman Moore Middle School,377,Portland Public Schools,364,Cumberland,9/1/2018,ME@377@364,,6-8,Public,,,,,,9,2018,458,,195,35,,,,,,,,,,,,,ME,3077,161.947368421,3665,192.894736842,230993000278,SY18-19,,230,,Middle,Public,,,,,,,2807,270,1060,19,3317,348,2368,19,171 Auburn ST,Portland,4103,0.331868132
,Longfellow SchoolPortland,370,Portland Public Schools,364,Cumberland,9/1/2018,ME@370@364,,KG-5,Public,,,,,,9,2018,328,,48,9,,,,,,,,,,,,,ME,689,36.263157895,165,8.684210526,,SY18-19,,57,,Primary,Public,,,,,,,607,82,1021,19,137,28,91,19,432 Stevens AV,Portland,4103,0.095092025
,Lincoln Middle School,376,Portland Public Schools,364,Cumberland,9/1/2018,ME@376@364,,6-8,Public,,,,,,9,2018,531,,203,27,,,,,,,,,,,,,ME,2784,146.526315789,1802,94.842105263,230993000275,SY18-19,,230,,Middle,Public,,,,,,,2505,279,1306,19,1531,271,2004,19,522 Stevens AV,Portland,4103,0.287054409
