ISP,State-Physical,Street Address-Line 1,Street Address-Line 2,School Level-Original,Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free and Reduced,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District ID,District Name,School Name,School Type-Original,School ID,County,City,Zip Code,CEP (Y/N),Claim Date,Operating Days,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,Enrollment-Free,Enrollment-Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,1666,92.555555556,1218,67.666666667,KS@3252@D0313,200420000564,SY18-19,,119,0.447368421,,Public,,,,Cafeteria,,,D0313,Buhler,Buhler Elementary School,Public School,3252,Reno,Buhler,67522,N,9/1/2018,18,Traditional,266,80,39,1201,465,1446,947,271,489
,,,,,,,,,8,2018,,,,,12,12,,,,,,,,KS,1750,145.833333333,721,60.083333333,KS@1894@X0775,,SY18-19,,172,0.877551020,,Nonpublic,,,,Cafeteria,,,X0775,St Patrick School,St. Patrick Catholic School,Private School,1894,Sedgwick,Wichita,67203,N,8/1/2018,12,Traditional,196,130,42,1276,474,245,610,111,18
,,,,,,,,,1,2019,,,,,15,15,,,,,,,,KS,2563,170.866666667,1274,84.933333333,KS@6440@D0434,201041001054,SY18-19,,196,0.502564103,,Public,,,,Cafeteria,,,D0434,Santa Fe Trail,Carbondale Attendance Center,Public School,6440,Osage,Carbondale,66414,N,1/1/2019,15,Traditional,390,151,45,2014,549,2138,1103,171,418
,,,,,,,,,10,2018,,,,,19,19,,,,,,,,KS,1059,55.736842105,1053,55.421052632,KS@8349@D0500,,SY18-19,,71,0.898734177,,Public,,,,Cafeteria,,,D0500,Kansas City,Trinity Methodist Head Start,Public School,8349,Wyandotte,Kansas City,66104,N,10/1/2018,19,Traditional,79,71,0,1059,0,120,1053,0,119
,,,,,,,,,10,2018,,,,,21,21,,,,,,,,KS,1799,85.666666667,447,21.285714286,KS@306@D0208,201263000050,SY18-19,,119,0.395348837,,Public,,,,Cafeteria,,,D0208,WaKeeney,Trego Grade School,Public School,306,Trego,WaKeeney,67672,N,10/1/2018,21,Traditional,301,85,34,1267,532,2468,314,133,93
,,,,,,,,,3,2019,,,,,16,16,,,,,,,,KS,4276,267.25,2353,147.0625,KS@7456@D0470,200345001241,SY18-19,,447,0.658321060,,Public,,,,Other,,,D0470,Arkansas City,Arkansas City High School,Public School,7456,Cowley,Arkansas City,67005-4099,N,3/1/2019,16,"Traditional Kiosk,",679,368,79,3537,739,1800,2007,346,678
,,,,,,,,,9,2018,,,,,15,15,,,,,,,,KS,486,32.4,250,16.666666667,KS@5486@D0399,200985000904,SY18-19,,42,0.591549296,,Public,,,,,,,D0399,Paradise,Natoma Elem,Public School,5486,Russell,Natoma,67651-0010,N,9/1/2018,15,NULL,71,33,9,352,134,146,214,36,65
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,5306,279.263157895,2698,142,KS@1778@D0259,201299000315,SY18-19,,328,0.856396867,,Public,,,,Cafeteria,,,D0259,Wichita,Pleasant Valley Elementary School,Public School,1778,Sedgwick,Wichita,67204-4831,N,9/1/2018,19,Traditional,383,306,22,4994,312,517,2614,84,152
,,,,,,,,,12,2018,,,,,14,14,,,,,,,,KS,271,19.357142857,270,19.285714286,KS@702@D0226,200942000106,SY18-19,,33,0.264,,Public,,,,Cafeteria,,,D0226,Meade,Meade High School,Public School,702,Meade,Meade,67864-0400,N,12/1/2018,14,Traditional,125,21,12,149,122,570,169,101,416
,,,,,,,,,4,2019,,,,,19,19,,,,,,,,KS,1737,91.421052632,0,0,KS@1886@X0771,,SY18-19,,99,0.163636364,,Nonpublic,,,,,,,X0771,St Francis of Assisi Elementary,St. Francis of Assisi Elementary School,Private School,1886,Sedgwick,Wichita,67212,N,4/1/2019,19,NULL,605,65,34,1128,609,6033,0,0,0
,,,,,,,,,11,2018,,,,,16,16,,,,,,,,KS,1789,111.8125,818,51.125,KS@8808@D0512,201164001535,SY18-19,,134,0.325242718,,Public,,,,Cafeteria,,,D0512,Shawnee Mission,John Diemer Elementary School,Public School,8808,Johnson,Shawnee Mission,66207-2832,N,11/1/2018,16,Traditional,412,95,39,1268,521,1846,572,246,108
,,,,,,,,,3,2019,,,,,13,13,,,,,,,,KS,3250,250,1685,129.615384615,KS@6674@D0443,200558001089,SY18-19,,263,0.935943060,,Public,,,,Cafeteria,,,D0443,Dodge City,Central Elementary School,Public School,6674,Ford,Dodge City,67801,N,3/1/2019,13,Traditional,281,233,30,2870,380,192,1559,126,82
,,,,,,,,,2,2019,,,,,19,19,,,,,,,,KS,1792,94.315789474,955,50.263157895,KS@1981@D0262,201251000160,SY18-19,,146,0.428152493,,Public,,,,Cafeteria,,,D0262,Valley Center,Wheatland Elementary School,Public School,1981,Sedgwick,Valley Center,67147,N,2/1/2019,19,Traditional,341,106,40,1331,461,1362,758,197,336
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,406,21.368421053,74,3.894736842,KS@6142@D0423,200978001012,SY18-19,,29,0.29,,Public,,,,Cafeteria,,,D0423,Moundridge,Moundridge High School,Public School,6142,McPherson,Moundridge,67107-0610,N,9/1/2018,19,Traditional,100,18,11,235,171,679,43,31,19
,,,,,,,,,1,2019,,,,,20,20,,,,,,,,KS,4191,209.55,1791,89.55,KS@1624@D0259,201299000254,SY18-19,,264,0.75,,Public,,,,Cafeteria,,,D0259,Wichita,Black Traditional Magnet Elementary School,Public School,1624,Sedgwick,Wichita,67203-4399,N,1/1/2019,20,Traditional,352,236,28,3815,376,951,1649,142,321
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,2786,139.3,1637,81.85,KS@4038@D0344,201077000680,SY18-19,,205,0.529715762,,Public,,,,Cafeteria,,,D0344,Pleasanton,Pleasanton Elementary School,Public School,4038,Linn,Pleasanton,66075,N,4/1/2019,20,Traditional,387,146,59,1977,809,2163,1314,323,567
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,6395,355.277777778,3806,211.444444444,KS@8340@D0500,200795001429,SY18-19,,414,0.898047722,,Public,,,,,,,D0500,Kansas City,John F. Kennedy Elementary School,Public School,8340,Wyandotte,Kansas City,66109-2541,N,11/1/2018,18,NULL,461,414,0,6395,0,726,3806,0,432
,,,,,,,,,5,2019,,,,,17,17,,,,,,,,KS,3619,212.882352941,4045,237.941176471,KS@1320@D0250,,SY18-19,,245,0.881294964,,Public,,,,,,,D0250,Pittsburg Community Schools,Westside Elementary School,Public School,1320,Crawford,Pittsburg,66762,N,5/1/2019,17,NULL,278,219,26,3290,329,270,3605,440,528
,,,,,,,,,2,2019,,,,,15,15,,,,,,,,KS,5996,399.733333333,4156,277.066666667,KS@7128@D0457,200639001174,SY18-19,,521,0.693741678,,Public,,,,Other,,,D0457,Garden City,Horace Good Middle School,Public School,7128,Finney,Garden City,67846-4314,N,2/1/2019,15,"Traditional Class,",751,408,113,4705,1291,1688,3355,801,906
,,,,,,,,,1,2019,,,,,15,15,,,,,,,,KS,7355,490.333333333,2214,147.6,KS@8350@D0500,200795001433,SY18-19,,814,0.754402224,,Public,,,,Cafeteria,,,D0500,Kansas City,Washington High School,Public School,8350,Wyandotte,Kansas City,66109-1226,N,1/1/2019,15,Traditional,1079,671,143,6089,1266,1443,1864,350,252
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,2694,149.666666667,1504,83.555555556,KS@1965@D0261,200705001725,SY18-19,,215,0.526960784,,Public,,,,Cafeteria,,,D0261,Haysville,Ruth Clark Elementary School,Public School,1965,Sedgwick,Wichita,67217,N,11/1/2018,18,Traditional,408,177,38,2232,462,1733,1365,139,752
,,,,,,,,,2,2019,,,,,16,16,,,,,,,,KS,6086,380.375,4552,284.5,KS@7739@D0480,,SY18-19,,438,0.9125,,Public,,,,Other,,,D0480,Liberal,Seymour Roger Middle School,Public School,7739,Seward,Liberal,67901,N,2/1/2019,16,"Traditional Kiosk,",480,359,79,5070,1016,410,3739,813,291
,,,,,,,,,12,2018,,,,,13,13,,,,,,,,KS,551,42.384615385,107,8.230769231,KS@622@D0223,200001200095,SY18-19,,47,0.333333333,,Public,,,,Cafeteria,,,D0223,Barnes,Hanover High,Public School,622,Washington,Hanover,66945-0338,N,12/1/2018,13,Traditional,141,27,20,314,237,1014,81,26,2
,,,,,,,,,12,2018,,,,,12,12,,,,,,,,KS,1496,124.666666667,606,50.5,KS@5268@D0389,200612000873,SY18-19,,149,0.526501767,,Public,,,,Cafeteria,,,D0389,Eureka,Eureka High School,Public School,5268,Greenwood,Eureka,67045,N,12/1/2018,12,Traditional,283,128,21,1297,199,941,529,77,132
,,,,,,,,,5,2019,,,,,15,15,,,,,,,,KS,599,39.933333333,243,16.2,KS@6917@D0449,200564001130,SY18-19,,51,0.361702128,,Public,,,,Cafeteria,,,D0449,Easton,Pleasant Ridge Middle School,Public School,6917,Leavenworth,Easton,66020-7260,N,5/1/2019,15,Traditional,141,34,17,392,207,1033,150,93,200
,,,,,,,,,11,2018,,,,,14,14,,,,,,,,KS,1012,72.285714286,215,15.357142857,KS@2892@D0300,200504000492,SY18-19,,96,0.388663968,,Public,,,,Cafeteria,,,D0300,Comanche County,South Central Elementary School,Public School,2892,Comanche,Protection,67127-0038,N,11/1/2018,14,Traditional,247,70,26,727,285,1500,163,52,138
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,2799,155.5,1657,92.055555556,KS@1965@D0261,200705001725,SY18-19,,220,0.539215686,,Public,,,,Cafeteria,,,D0261,Haysville,Ruth Clark Elementary School,Public School,1965,Sedgwick,Wichita,67217,N,9/1/2018,18,Traditional,408,175,45,2259,540,1607,1438,219,779
,,,,,,,,,8,2018,,,,,9,9,,,,,,,,KS,1347,149.666666667,767,85.222222222,KS@1428@D0253,200594000227,SY18-19,,204,0.766917293,,Public,,,,Second Chance,,,D0253,Emporia,Logan Avenue Elementary School,Public School,1428,Lyon,Emporia,66801-4999,N,8/1/2018,9,"Traditional Second Chance,",266,169,35,1147,200,215,688,79,89
,,,,,,,,,3,2019,,,,,14,14,,,,,,,,KS,4338,309.857142857,1652,118,KS@7738@D0480,,SY18-19,,353,0.954054054,,Public,,,,Cafeteria,,,D0480,Liberal,Meadowlark Elementary School,Public School,7738,Seward,Liberal,67901,N,3/1/2019,14,Traditional,370,325,28,3982,356,179,1563,89,27
,,,,,,,,,4,2019,,,,,19,19,,,,,,,,KS,2896,152.421052632,829,43.631578947,KS@8430@X0813,,SY18-19,,193,0.742307692,,Nonpublic,,,,Cafeteria,,,X0813,Christ The King School,Christ The King,Private School,8430,Wyandotte,Kansas City,66104,N,4/1/2019,19,Traditional,260,146,47,2183,713,514,677,152,110
,,,,,,,,,5,2019,,,,,16,16,,,,,,,,KS,1173,73.3125,510,31.875,KS@8819@D0512,201164001542,SY18-19,,94,0.176029963,,Public,,,,Cafeteria,,,D0512,Shawnee Mission,Mill Creek Elementary School,Public School,8819,Johnson,Shawnee Mission,66215-5300,N,5/1/2019,16,Traditional,534,71,23,919,254,3013,393,117,259
,,,,,,,,,3,2019,,,,,14,14,,,,,,,,KS,2566,183.285714286,1198,85.571428571,KS@7630@D0475,200789001616,SY18-19,,253,0.509054326,,Public,,,,Cafeteria,,,D0475,Geary County Schools,Ware Elementary School,Public School,7630,Geary,Fort Riley,66442,N,3/1/2019,14,Traditional,497,135,118,1469,1097,1275,828,370,275
,,,,,,,,,3,2019,,,,,11,11,,,,,,,,KS,188,17.090909091,213,19.363636364,KS@8028@D0491,,SY18-19,,43,0.387387387,,Public,,,,Cafeteria,,,D0491,Eudora,Eudora West Elementary,Public School,8028,Douglas,Eudora,66025,N,3/1/2019,11,Traditional,111,34,9,152,36,164,180,33,226
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,1717,114.466666667,721,48.066666667,KS@5130@D0383,200918000850,SY18-19,,145,0.416666667,,Public,,,,Cafeteria,,,D0383,Manhattan,Theodore Roosevelt Elementary School,Public School,5130,Riley,Manhattan,66502,N,3/1/2019,15,Traditional,348,118,27,1408,309,1632,647,74,251
,,,,,,,,,8,2018,,,,,12,12,,,,,,,,KS,1754,146.166666667,598,49.833333333,KS@6982@D0452,200786001144,SY18-19,,162,0.655870445,,Public,,,,Cafeteria,,,D0452,Stanton County,Stanton County  Elementary School,Public School,6982,Stanton,Johnson,67855,N,8/1/2018,12,Traditional,247,100,62,1064,690,786,404,194,64
,,,,,,,,,8,2018,,,,,10,10,,,,,,,,KS,667,66.7,500,50,KS@684@D0225,200621000103,SY18-19,,105,0.573770492,,Public,,,,Cafeteria,,,D0225,Fowler,Fowler Elementary School,Public School,684,Meade,Fowler,67844-0170,N,8/1/2018,10,Traditional,183,96,9,595,72,418,436,64,188
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,926,51.444444444,213,11.833333333,KS@770@D0229,201200000112,SY18-19,,105,0.063597820,,Public,,,,Cafeteria,,,D0229,Blue Valley,Blue Valley High School,Public School,770,Johnson,Stilwell,66085-8808,N,11/1/2018,18,Traditional,1651,62,43,639,287,6870,163,50,155
,,,,,,,,,1,2019,,,,,20,20,,,,,,,,KS,4079,203.95,1841,92.05,KS@1652@D0259,201299000266,SY18-19,,253,0.643765903,,Public,,,,Cafeteria,,,D0259,Wichita,College Hill Elementary School,Public School,1652,Sedgwick,Wichita,67208-3337,N,1/1/2019,20,Traditional,393,231,22,3716,363,1349,1752,89,503
,,,,,,,,,5,2019,,,,,16,16,,,,,,,,KS,1081,67.5625,592,37,KS@8805@D0512,,SY18-19,,91,0.380753138,,Public,,,,Cafeteria,,,D0512,Shawnee Mission,Lenexa Hills Elementary School,Public School,8805,Johnson,Lenexa,66219,N,5/1/2019,16,Traditional,239,78,13,955,126,1081,528,64,201
,,,,,,,,,11,2018,,,,,16,16,,,,,,,,KS,184,11.5,0,0,KS@4560@X0144,,SY18-19,,13,0.26,,Nonpublic,,,,,,,X0144,Good Shepherd Lutheran,Good Shepherd Lutheran Elementary School,Private School,4560,Marshall,Marysville,66508,N,11/1/2018,16,NULL,50,8,5,105,79,276,0,0,0
,,,,,,,,,1,2019,,,,,28,28,,,,,,,,KS,146,5.214285714,230,8.214285714,KS@9713@X0214,,SY18-19,,15,1,,Other,,,,Cafeteria,,,X0214,"The Shelter, Inc",Williams House,Private Residential Child Care Institution,9713,Douglas,Lawrence,66044,N,1/1/2019,28,Traditional,15,15,0,146,0,0,230,0,0
,,,,,,,,,10,2018,,,,,31,31,,,,,,,,KS,248,8,258,8.322580645,KS@3142@X0944,,SY18-19,,19,1,,Other,,,,Cafeteria,,,X0944,Reno County Youth Services,Reno County Juvenile Detention Center,Private Residential Child Care Institution,3142,Reno,Hutchinson,67501,N,10/1/2018,31,Traditional,19,19,0,248,0,0,258,0,0
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,4821,241.05,2815,140.75,KS@1961@D0261,200705001876,SY18-19,,293,0.642543860,,Public,,,,Cafeteria,,,D0261,Haysville,Prairie Elementary School,Public School,1961,Sedgwick,Haysville,67060,N,4/1/2019,20,Traditional,456,244,49,4016,805,2088,2366,449,756
,,,,,,,,,2,2019,,,,,15,15,,,,,,,,KS,2898,193.2,1242,82.8,KS@8680@D0506,200330001500,SY18-19,,254,0.622549020,,Public,,,,Other,,,D0506,Labette County,Meadowview Elementary School,Public School,8680,Labette,Parsons,67357-8080,N,2/1/2019,15,"Traditional Class,",408,192,62,2223,675,1084,1022,220,255
,,,,,,,,,8,2018,,,,,15,15,,,,,,,,KS,2304,153.6,196,13.066666667,KS@7599@D0475,,SY18-19,,224,0.578811370,,Public,,,,Cafeteria,,,D0475,Geary County Schools,H.D. Karns Innovation Academy,Public School,7599,Geary,Junction City,66441,N,8/1/2018,15,Traditional,387,146,78,1636,668,1001,153,43,48
,,,,,,,,,10,2018,,,,,19,19,,,,,,,,KS,499,26.263157895,437,23,KS@911@D0234,,SY18-19,,66,0.88,,Public,,,,Cafeteria,,,D0234,Fort Scott,Fort Scott Preschool Center,Public School,911,Bourbon,Fort Scott,66701,N,10/1/2018,19,Traditional,75,53,13,394,105,56,310,127,44
,,,,,,,,,12,2018,,,,,13,13,,,,,,,,KS,781,60.076923077,177,13.615384615,KS@876@D0233,201014000145,SY18-19,,77,0.259259259,,Public,,,,Cafeteria,,,D0233,Olathe,Black Bob Elementary School,Public School,876,Johnson,Olathe,66062-2628,N,12/1/2018,13,Traditional,297,43,34,460,321,1474,125,52,122
,,,,,,,,,8,2018,,,,,13,13,,,,,,,,KS,3619,278.384615385,2155,165.769230769,KS@6689@D0443,200558000888,SY18-19,,311,0.766009852,,Public,,,,Cafeteria,,,D0443,Dodge City,Soule Elementary School,Public School,6689,Ford,Dodge City,67801,N,8/1/2018,13,Traditional,406,274,37,3196,423,784,1961,194,159
,,,,,,,,,4,2019,,,,,19,19,,,,,,,,KS,1076,56.631578947,495,26.052631579,KS@1474@D0254,,SY18-19,,72,0.352941176,,Public,,,,Cafeteria,,,D0254,Barber County North,Medicine Lodge High School,Public School,1474,Barber,Medicine Lodge,67104-0804,N,4/1/2019,19,Traditional,204,49,23,766,310,1409,357,138,214
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,3386,225.733333333,1601,106.733333333,KS@1756@D0259,201299000306,SY18-19,,252,0.950943396,,Public,,,,Cafeteria,,,D0259,Wichita,Park Elementary,Public School,1756,Sedgwick,Wichita,67203-3610,N,3/1/2019,15,Traditional,265,234,18,3138,248,143,1517,84,63
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,358,18.842105263,136,7.157894737,KS@5152@X0761,,SY18-19,,22,0.087649402,,Nonpublic,,,,Cafeteria,,,X0761,Manhattan Catholic Schools,Manhattan Catholic Schools,Private School,5152,Riley,Manhattan,66502,N,9/1/2018,19,Traditional,251,8,14,146,212,2520,60,76,210
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,116,6.444444444,0,0,KS@6304@X0711,,SY18-19,,8,0.039800995,,Nonpublic,,,,,,,X0711,Holy Family School,Holy Family School,Private School,6304,Barton,Great Bend,67530,N,11/1/2018,18,NULL,201,4,4,49,67,2412,0,0,0
,,,,,,,,,10,2018,,,,,20,20,,,,,,,,KS,1018,50.9,684,34.2,KS@4274@D0353,201284000726,SY18-19,,62,0.590476190,,Public,,,,Cafeteria,,,D0353,Wellington,Washington Elementary School,Public School,4274,Sumner,Wellington,67152-4397,N,10/1/2018,20,Traditional,105,54,8,920,98,430,650,34,102
,,,,,,,,,10,2018,,,,,21,21,,,,,,,,KS,3351,159.571428571,1285,61.190476190,KS@837@D0232,200549001462,SY18-19,,205,0.423553719,,Public,,,,Cafeteria,,,D0232,DeSoto,Starside Elementary School,Public School,837,Johnson,De Soto,66018,N,10/1/2018,21,Traditional,484,159,46,2597,754,2946,1007,278,300
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,836,55.733333333,452,30.133333333,KS@7648@D0476,200519001270,SY18-19,,66,0.554621849,,Public,,,,Cafeteria,,,D0476,Copeland,Copeland Elementary School,Public School,7648,Gray,Copeland,67837,N,3/1/2019,15,Traditional,119,40,26,518,318,670,277,175,214
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,1353,71.210526316,836,44,KS@3396@D0320,200000301607,SY18-19,,107,0.250585480,,Public,,,,Cafeteria,,,D0320,Wamego,Central Elementary School,Public School,3396,Pottawatomie,Wamego,66547-1426,N,9/1/2018,19,Traditional,427,79,28,1060,293,2895,713,123,397
,,,,,,,,,1,2019,,,,,17,17,,,,,,,,KS,2757,162.176470588,1582,93.058823529,KS@3100@D0308,,SY18-19,,186,0.661921708,,Public,,,,Cafeteria,,,D0308,Hutchinson,Hutchinson Magnet School At Allen,Public School,3100,Reno,Hutchinson,67501,N,1/1/2019,17,Traditional,281,146,40,2164,593,1060,1300,282,301
,,,,,,,,,4,2019,,,,,21,21,,,,,,,,KS,4798,228.476190476,2752,131.047619048,KS@8312@D0500,200795001411,SY18-19,,250,0.899280576,,Public,,,,Cafeteria,,,D0500,Kansas City,Wm. A. White Elementary School,Public School,8312,Wyandotte,Kansas City,66104-3461,N,4/1/2019,21,Traditional,278,250,0,4798,0,544,2752,0,312
,,,,,,,,,5,2019,,,,,12,12,,,,,,,,KS,898,74.833333333,332,27.666666667,KS@2840@D0298,200879000486,SY18-19,,95,0.549132948,,Public,,,,Cafeteria,,,D0298,Lincoln,Lincoln Elem,Public School,2840,Lincoln,Lincoln,67455,N,5/1/2019,12,Traditional,173,57,38,545,353,655,239,93,46
,,,,,,,,,2,2019,,,,,16,16,,,,,,,,KS,1725,107.8125,820,51.25,KS@5750@D0408,200924000949,SY18-19,,134,0.487272727,,Public,,,,Cafeteria,,,D0408,Marion,Marion Elementary School,Public School,5750,Marion,Marion,66861,N,2/1/2019,16,Traditional,275,103,31,1303,422,1751,671,149,287
,,,,,,,,,5,2019,,,,,12,12,,,,,,,,KS,4852,404.333333333,2570,214.166666667,KS@1956@D0261,200705000362,SY18-19,,778,0.511505588,,Public,,,,Second Chance,,,D0261,Haysville,Campus High School,Public School,1956,Sedgwick,Wichita,67217-4199,N,5/1/2019,12,"Traditional Second Chance,",1521,599,179,3856,996,2621,2163,407,447
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,2007,111.5,952,52.888888889,KS@4265@D0353,201284000723,SY18-19,,138,0.75,,Public,,,,Cafeteria,,,D0353,Wellington,Kennedy Elementary School,Public School,4265,Sumner,Wellington,67152-2826,N,9/1/2018,18,Traditional,184,114,24,1665,342,376,897,55,123
,,,,,,,,,3,2019,,,,,15,15,,,,,,,,KS,1346,89.733333333,733,48.866666667,KS@3968@D0340,,SY18-19,,100,0.320512821,,Public,,,,Cafeteria,,,D0340,Jefferson West,Jefferson West Elementary,Public School,3968,Jefferson,Meriden,66512,N,3/1/2019,15,Traditional,312,69,31,946,400,2055,550,183,479
,,,,,,,,,11,2018,,,,,17,17,,,,,,,,KS,1477,86.882352941,674,39.647058824,KS@3950@D0339,201302001239,SY18-19,,102,0.335526316,,Public,,,,Cafeteria,,,D0339,Jefferson County North,Jefferson County North Elementary Middle School,Public School,3950,Jefferson,Nortonville,66060-4902,N,11/1/2018,17,Traditional,304,73,29,1083,394,2022,531,143,343
,,,,,,,,,2,2019,,,,,17,17,,,,,,,,KS,2141,125.941176471,864,50.823529412,KS@1882@X0769,,SY18-19,,146,0.744897959,,Nonpublic,,,,Other,,,X0769,St Anne Elementary,St. Anne Catholic Elementary School,Private School,1882,Sedgwick,Wichita,67217,N,2/1/2019,17,"Traditional Class,",196,107,39,1620,521,546,702,162,122
,,,,,,,,,10,2018,,,,,21,21,,,,,,,,KS,4309,205.190476190,5007,238.428571429,KS@1304@D0250,201071000202,SY18-19,,257,0.589449541,,Public,,,,,,,D0250,Pittsburg Community Schools,Lakeside Elementary,Public School,1304,Crawford,Pittsburg,66762-5097,N,10/1/2018,21,NULL,436,226,31,3793,516,918,4420,587,3343
,,,,,,,,,3,2019,,,,,13,13,,,,,,,,KS,726,55.846153846,395,30.384615385,KS@1134@D0243,201281000173,SY18-19,,76,0.310204082,,Public,,,,Cafeteria,,,D0243,Lebo-Waverly,Lebo Elementary School,Public School,1134,Coffey,Lebo,66856-0045,N,3/1/2019,13,Traditional,245,55,21,540,186,1303,342,53,168
,,,,,,,,,11,2018,,,,,17,17,,,,,,,,KS,4090,240.588235294,1587,93.352941176,KS@3794@D0333,200510000644,SY18-19,,286,0.453248811,,Public,,,,Second Chance,,,D0333,Concordia,Concordia Jr-Sr High,Public School,3794,Cloud,Concordia,66901-4122,N,11/1/2018,17,"Traditional Second Chance,",631,188,98,2672,1418,4578,1234,353,572
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,389,20.473684211,262,13.789473684,KS@4610@D0365,200645000768,SY18-19,,24,0.5,,Public,,,,Cafeteria,,,D0365,Garnett,Westphalia Elementary School,Public School,4610,Anderson,Westphalia,66093,N,9/1/2018,19,Traditional,48,20,4,322,67,249,208,54,66
,,,,,,,,,9,2018,,,,,19,19,,,,,,,,KS,1246,65.578947368,718,37.789473684,KS@8624@D0504,201035001491,SY18-19,,89,0.589403974,,Public,,,,Cafeteria,,,D0504,Oswego,Oswego Junior Senior High School,Public School,8624,Labette,Oswego,67356-0129,N,9/1/2018,19,Traditional,151,60,29,882,364,643,513,205,170
,,,,,,,,,5,2019,,,,,17,17,,,,,,,,KS,1171,68.882352941,490,28.823529412,KS@3972@D0340,200951000669,SY18-19,,93,0.340659341,,Public,,,,Cafeteria,,,D0340,Jefferson West,Jefferson West Middle School,Public School,3972,Jefferson,Meriden,66512,N,5/1/2019,17,Traditional,273,72,21,886,285,1825,389,101,261
,,,,,,,,,9,2018,,,,,18,18,,,,,,,,KS,2118,117.666666667,1649,91.611111111,KS@5138@D0383,200918000854,SY18-19,,132,0.717391304,,Public,,,,Cafeteria,,,D0383,Manhattan,Ogden Elementary School,Public School,5138,Riley,Ogden,66517,N,9/1/2018,18,Traditional,184,101,31,1722,396,401,1471,178,137
,,,,,,,,,11,2018,,,,,18,18,,,,,,,,KS,495,27.5,77,4.277777778,KS@756@D0229,201200001473,SY18-19,,35,0.029288703,,Public,,,,Cafeteria,,,D0229,Blue Valley,Lakewood Elementary School,Public School,756,Johnson,Overland Park,66223-9998,N,11/1/2018,18,Traditional,1195,24,11,318,177,3617,48,29,201
,,,,,,,,,4,2019,,,,,20,20,,,,,,,,KS,8511,425.55,4150,207.5,KS@7618@D0475,200789001266,SY18-19,,544,0.593238822,,Public,,,,Cafeteria,,,D0475,Geary County Schools,Junction City Middle School,Public School,7618,Geary,Junction City,66441,N,4/1/2019,20,Traditional,917,419,125,6678,1833,3415,3339,811,620
,,,,,,,,,1,2019,,,,,20,20,,,,,,,,KS,1687,84.35,291,14.55,KS@2952@D0303,200993000500,SY18-19,,128,0.467153285,,Public,,,,Cafeteria,,,D0303,Ness City,Ness City High School,Public School,2952,Ness,Ness City,67560-1735,N,1/1/2019,20,Traditional,274,91,37,1268,419,2120,254,37,87
,,,,,,,,,2,2019,,,,,17,17,,,,,,,,KS,1339,78.764705882,133,7.823529412,KS@7360@D0466,200001701219,SY18-19,,108,0.418604651,,Public,,,,Cafeteria,,,D0466,Scott County,Scott City High School,Public School,7360,Scott,Scott City,67871,N,2/1/2019,17,Traditional,258,71,37,837,502,1819,78,55,14
,,,,,,,,,4,2019,,,,,19,19,,,,,,,,KS,1824,96,553,29.105263158,KS@4228@D0352,200658000717,SY18-19,,181,0.471354167,,Public,,,,Cafeteria,,,D0352,Goodland,Goodland Junior/Senior High School,Public School,4228,Sherman,Goodland,67735,N,4/1/2019,19,Traditional,384,145,36,1516,308,1187,494,59,173
