School ID,School Name,District ID,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Date,Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Operating Days-Lunch Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,Unique ID,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,County
1360,Maplewood Middle School,356,Calcasieu Parish School Board,LA,Sulphur,70663,4401 Maplewood Dr,,[6-8],,N,,,,,,,,1033,,343,87,,38048,7379,40051,,20228,3928,15005,,,167,167,,,,,,,,,LA,45427,272.017964072,24156,144.646706587,LA@1360@356,,SY17-18,,430,0.416263311,Middle,,,,,,,,Calcasieu Parish
1363,Moss Bluff Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70611,215 School Street,,[PK K 1-5],,N,,,,,,,,994,,337,72,,37262,6141,37684,,22177,4247,18077,,,167,167,,,,,,,,,LA,43403,259.898203593,26424,158.227544910,LA@1363@356,,SY17-18,,409,0.411468813,Primary,,,,,,,,Calcasieu Parish
1364,Moss Bluff Middle School,356,Calcasieu Parish School Board,LA,Lake Charles,70611,1104 Recreation Blvd,,[6-8],,N,,,,,,,,947,,265,69,,22259,4972,19866,,17446,2671,12755,,,167,167,,,,,,,,,LA,27231,163.059880240,20117,120.461077844,LA@1364@356,,SY17-18,,334,0.352692714,Middle,,,,,,,,Calcasieu Parish
1368,Oak Park Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70601,2001 18th St,,[PK K 1-5],,Y,,,,,,,,458,,444,0,,55637,0,1726,,35984,0,1116,,,167,167,,,,,,,,,LA,55637,333.155688623,35984,215.473053892,LA@1368@356,,SY17-18,,444,0.969910918,Primary,,,,,,,,Calcasieu Parish
1069,Oak Park Middle School,356,Calcasieu Parish School Board,LA,Lake Charles,70601,2200 Oak Park Blvd,,[6-8],,Y,,,,,,,,460,,446,0,,45529,0,1413,,27948,0,867,,,167,167,,,,,,,,,LA,45529,272.628742515,27948,167.353293413,LA@1069@356,,SY17-18,,446,0.969899024,Middle,,,,,,,,Calcasieu Parish
1386,Pearl Watson Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70601,1300 5th St,,[PK K 1-5],,Y,,,,,,,,332,,322,0,,46161,0,1433,,29406,0,913,,,167,167,,,,,,,,,LA,46161,276.413173653,29406,176.083832335,LA@1386@356,,SY17-18,,322,0.969891163,Primary,,,,,,,,Calcasieu Parish
1372,Prien Lake Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,3741 Nelson Rd,,[PK K 1-5],,N,,,,,,,,822,,223,42,,28196,3926,28266,,18259,2707,14293,,,167,167,,,,,,,,,LA,32122,192.347305389,20966,125.544910180,LA@1372@356,,SY17-18,,265,0.322384428,Primary,,,,,,,,Calcasieu Parish
1393,Ralph F. Wilson Elementary School,356,Calcasieu Parish School Board,LA,Lake Charles,70601,1400 Opelousas St,,[3-5],,Y,,,,,,,,230,,223,0,,33495,0,1038,,21119,0,655,,,167,167,,,,,,,,,LA,33495,200.568862275,21119,126.461077844,LA@1393@356,,SY17-18,,223,0.969941795,Primary,,,,,,,,Calcasieu Parish
1362,Ray D. Molo Middle Magnet School,356,Calcasieu Parish School Board,LA,Lake Charles,70601,2300 Medora,,[6-8],,Y,,,,,,,,442,,429,0,,56557,0,1757,,26817,0,833,,,167,167,,,,,,,,,LA,56557,338.664670659,26817,160.580838323,LA@1362@356,,SY17-18,,429,0.969870014,Middle,,,,,,,,Calcasieu Parish
1378,Richard W. Vincent Elementary School,356,Calcasieu Parish School Board,LA,Sulphur,70663,1634 Arizona St,,[PK K 1-5],,Y,,,,,,,,375,,364,0,,40606,0,1258,,25617,0,794,,,167,167,,,,,,,,,LA,40606,243.149700599,25617,153.395209581,LA@1378@356,,SY17-18,,364,0.969950315,Primary,,,,,,,,Calcasieu Parish
1387,S.J. Welsh Middle School,356,Calcasieu Parish School Board,LA,Lake Charles,70605,1500 W McNeese,,[6-8],,N,,,,,,,,1379,,496,77,,38128,4846,20440,,16387,1583,5363,,,167,167,,,,,,,,,LA,42974,257.329341317,17970,107.604790419,LA@1387@356,,SY17-18,,573,0.415518492,Middle,,,,,,,,Calcasieu Parish
