Unique ID,District Name,School ID,District ID,School Name,BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Level-Standardized,FR Enrollment Percentage,FR Enrollment,Target Area,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,State-Reporting,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Enrollment-Free and Reduced,Enrollment-Paid,Claim Year,Claim Month,Claim Date,Universal Free (Y/N),School Type-Original,Street Address-Line 2,State-Physical,Enrollment-Reduced,Enrollment-Free,Enrollment-Total,School Year,School Level-Original,Street Address-Line 1,City,Zip Code,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Operating Days-Lunch Only,Operating Days-Breakfast Only,Breakfast Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Lunch Meals-Paid,Lunch Meals-Free,Lunch Meals-Reduced,NCES ID,County
GA@0001@11331,CAMP TWIN LAKES INC.,0001,11331,Camp Twin Lakes - Rutledge,,,,,,,,,,,,,0,,0,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1391 Keencheefoonee Road,Rutledge,30663,N,,N,,0,0,0,0,0,0,0,0,,
GA@0002@11331,CAMP TWIN LAKES INC.,0002,11331,Camp Twin Lakes - Will-A-Way,,,,,,,,,,,,,0,,0,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,210 S. Broad Street,Unit 5,30680,N,,N,,0,0,0,0,0,0,0,0,,
GA@0001@11349, Solid Rock Academy,0001,11349,Solid Rock Academy,,,,,,,,,,,,40.604166667,5847,67.381944444,9703,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,106 Commerce Street,Fayetteville,30214,N,,N,,144,144,1615,5634,213,2688,9285,418,,
GA@0001@11350, Latin Grammar School,0001,11350,Latin Grammar School,,,,,,,,,,,,115.748603352,20719,141.094972067,25256,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2626 Hogan Road,East Point,30344,N,,N,,179,179,3741,19348,1371,4694,23475,1781,,
GA@0001@11351, Latin College Prep,0001,11351,Latin College Prep,,,,,,,,,,,,53.279329609,9537,92.491620112,16556,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,2626 Hogan Road,East Point,30344,N,,N,,179,179,2048,8532,1005,4629,14750,1806,,
GA@0001@11352, North Metro Academy of Performing,0001,11352,North Metro Academy,,,,,,,,,,,,75.216666667,13539,181.588888889,32686,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,182 Hunter Street,Norcross,30071,N,,N,,180,180,2698,11564,1975,7611,27827,4859,,
GA@0001@11381, Bright Futures Academy,0001,11381,Bright Futures Academy,,,,,,,,,,,,,0,,0,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1300 Joseph E. Boone,Atlanta,30314,N,,N,,0,0,0,0,0,0,0,0,,
GA@1020@11389,New Life Academy of Excellence Inc.,1020,11389,New Life Academy of Excellence,,,,,,,,,,,,,0,,0,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,4725 River Green Parkway,Duluth,30096,N,,N,,0,0,0,0,0,0,0,0,,
GA@1010@11390, Dekalb Acad of Tech & Environment,1010,11390,"DeKalb Academy of Technology & Environment, Inc.",,,,,,,,,,,,,0,,0,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,1492 Kelton Drive,Stone Mountain,30083,N,,N,,0,0,0,0,0,0,0,0,,
GA@1030@11391, Cristo Rey Atlanta Jesuit High Sch,1030,11391,Cristo Rey Atlanta Jesuit High School,,,,,,,,,,,,,0,,0,GA,,,,,,,,,,,,,,,,,,,,,,,,SY16-17,,680 W. Peachtree Street,Atlanta,30308,N,,N,,0,0,0,0,0,0,0,0,,
