Claim Year,Claim Month,NCES ID,ISP,Breakfast Delivery Model from State Agency Tracking-Original,Enrollment-Total,CEP (Y/N),Enrollment-Free and Reduced,Operating Days-Lunch Only,Operating Days-Breakfast Only,School Name,School ID,District ID,State-Reporting,School Year,Claim Date,District Name,Enrollment-Paid,Provision 2 (Y/N),BAB Implementation Date from Grants Data,Breakfast Delivery Model from Other Source-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Grants Data-Standardized,School Type-Standardized,School Type-Original,School Level-Standardized,FR Enrollment Percentage,Enrollment-Reduced,Enrollment-Free,FR Enrollment,Target Area,Unique ID,FR Breakfast ADP,FR Breakfast Meals,FR Lunch ADP,FR Lunch Meals,"BAB Implementation Date Other Source, Note Source Here",BAB Implementation Date from Other Source,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Campaign Tracking Data,"Breakfast Delivery Model from Other Source, Note Source Here",Breakfast Delivery Model from Other Source-Original,Breakfast Delivery Model from Campaign Tracking Data-Original,Operating Days,Breakfast Meals-Free and Reduced,Lunch Meals-Free and Reduced,Universal Free (Y/N),Provision 3 (Y/N),Provision 1 (Y/N),School Level-Original,Street Address-Line 2,State-Physical,Street Address-Line 1,City,Zip Code,County,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid
2018,1,,,,,,,18.5,18.5,,,0073,NH,SY17-18,1/1/2018,Gilford SAU Office,,,,,,,,,,,,,,,,,NH@000@0073,56.108108108,1038,133.621621622,2472,,,,,,,,18.5,,,,,,,,,2 Belknap Mountain Rd.,Gilford,3249,Belknap,2119,353,6184,890,148,813
2017,8,,,,,,,18.5,18.5,,,0040,NH,SY17-18,8/1/2017,Milford SAU Office,,,,,,,,,,,,,,,,,NH@000@0040,3.621621622,67,21.189189189,392,,,,,,,,18.5,,,,,,,,,100 West Street,Milford,3055,Hillsborough,325,67,754,54,13,39
2018,5,,,,,,,18.5,18.5,,,0075,NH,SY17-18,5/1/2018,Grantham SAU Office,,,,,,,,,,,,,,,,,NH@000@0075,17.189189189,318,20,370,,,,,,,,18.5,,,,,,,,,300 RT 10S,Grantham,3753,Sullivan,280,90,1157,232,86,861
2017,12,,,,,,,18.5,18.5,,,0083,NH,SY17-18,12/1/2017,Fremont SAU Office,,,,,,,,,,,,,,,,,NH@000@0083,11.081081081,205,29.027027027,537,,,,,,,,18.5,,,,,,,,,432 Main Street,Fremont,3044,Rockingham,316,221,1957,143,62,284
2018,1,,,,,,,18.5,18.5,,,0089,NH,SY17-18,1/1/2018,Mason SAU Office,,,,,,,,,,,,,,,,,NH@000@0089,3.405405405,63,10.756756757,199,,,,,,,,18.5,,,,,,,,,13 Darling Hill Road,Mason,3048,Hillsborough,158,41,485,63,0,24
2018,4,,,,,,,18.5,18.5,,,0041,NH,SY17-18,4/1/2018,Hollis-Brookline SAU Office,,,,,,,,,,,,,,,,,NH@000@0041,15.675675676,290,61.243243243,1133,,,,,,,,18.5,,,,,,,,,4 Lund Lane,Hollis,3049,Hillsborough,816,317,11618,196,94,655
2017,9,,,,,,,18.5,18.5,,,0012,NH,SY17-18,9/1/2017,Londonderry SAU Office,,,,,,,,,,,,,,,,,NH@000@0012,2.864864865,53,232.648648649,4304,,,,,,,,18.5,,,,,,,,,6A Kitty Hawk Landing,Londonderry,3053,Rockingham,3736,568,18282,52,1,55
2017,10,,,,,,,18.5,18.5,,,0528,NH,SY17-18,10/1/2017,Monarch School of New England,,,,,,,,,,,,,,,,,NH@000@0528,,,16.432432432,304,,,,,,,,18.5,,,,,,,,,PO Box 1921,Rochester,3866,Strafford,285,19,240,,,
2017,9,,,,,,,18.5,18.5,,,0015,NH,SY17-18,9/1/2017,Hooksett SAU Office,,,,,,,,,,,,,,,,,NH@000@0015,76.864864865,1422,282.432432432,5225,,,,,,,,18.5,,,,,,,,,90 Farmer Road,Hooksett,3032,Rockingham,4368,857,14284,1266,156,1313
2017,12,,,,,,,18.5,18.5,,,0026,NH,SY17-18,12/1/2017,Merrimack SAU Office,,,,,,,,,,,,,,,,,NH@000@0026,18.594594595,344,207.891891892,3846,,,,,,,,18.5,,,,,,,,,36 McElwain Street,Merrimack,3054,Hillsborough,3074,772,20336,217,127,126
2018,2,,,,,,,18.5,18.5,,,0586,NH,SY17-18,2/1/2018,Pike School,,,,,,,,,,,,,,,,,NH@000@0586,94,1739,102.756756757,1901,,,,,,,,18.5,,,,,,,,,231 NH Rt 10,Orford,3264,Grafton,1901,0,29,1739,0,0
2017,8,,,,,,,18.5,18.5,,,0016,NH,SY17-18,8/1/2017,Exeter SAU Office,,,,,,,,,,,,,,,,,NH@000@0016,17.891891892,331,72,1332,,,,,,,,18.5,,,,,,,,,30 Linden Street,Exeter,3885,Rockingham,1120,212,5196,290,41,437
2018,4,,,,,,,18.5,18.5,,,0035,NH,SY17-18,4/1/2018,SAU #35 Office,,,,,,,,,,,,,,,,,NH@000@0035,110.486486486,2044,185.189189189,3426,,,,,,,,18.5,,,,,,,,,"260 Cottage Street, Suite C",Littleton,3574,Grafton,2828,598,3208,1761,283,1064
2017,10,,,,,,,18.5,18.5,,,0583,NH,SY17-18,10/1/2017,Nashua Childrens Home,,,,,,,,,,,,,,,,,NH@000@0583,68.702702703,1271,48.162162162,891,,,,,,,,18.5,,,,,,,,,125 Amherst Street,Nashua,3064,Hillsborough,891,0,28,1271,0,0
2017,9,,,,,,,18.5,18.5,,,0016,NH,SY17-18,9/1/2017,Exeter SAU Office,,,,,,,,,,,,,,,,,NH@000@0016,133.351351351,2467,379.081081081,7013,,,,,,,,18.5,,,,,,,,,30 Linden Street,Exeter,3885,Rockingham,5657,1356,26667,2097,370,3297
2018,4,,,,,,,18.5,18.5,,,0085,NH,SY17-18,4/1/2018,Sunapee SAU Office,,,,,,,,,,,,,,,,,NH@000@0085,25.405405405,470,41.189189189,762,,,,,,,,18.5,,,,,,,,,70 Lower Main Street,Sunapee,3782,Sullivan,746,16,1847,469,1,426
2018,2,,,,,,,18.5,18.5,,,0040,NH,SY17-18,2/1/2018,Milford SAU Office,,,,,,,,,,,,,,,,,NH@000@0040,107.243243243,1984,191.621621622,3545,,,,,,,,18.5,,,,,,,,,100 West Street,Milford,3055,Hillsborough,2840,705,7360,1637,347,2189
2018,3,,,,,,,18.5,18.5,,,0094,NH,SY17-18,3/1/2018,Winchester SAU Office,,,,,,,,,,,,,,,,,NH@000@0094,123.783783784,2290,212.270270270,3927,,,,,,,,18.5,,,,,,,,,85 Parker St.,Winchester,3470,Cheshire,3927,0,1275,2290,0,744
2018,6,,,,,,,18.5,18.5,,,0093,NH,SY17-18,6/1/2018,Monadnock Regional SAU Office,,,,,,,,,,,,,,,,,NH@000@0093,80.378378378,1487,129.189189189,2390,,,,,,,,18.5,,,,,,,,,600 Old Homestead Highway,Swanzey,3446,Cheshire,2028,362,2402,1298,189,728
2017,11,,,,,,,18.5,18.5,,,0039,NH,SY17-18,11/1/2017,Amherst SAU Office,,,,,,,,,,,,,,,,,NH@000@0039,7.567567568,140,82.378378378,1524,,,,,,,,18.5,,,,,,,,,1 School Street,Amherst,3031,Hillsborough,1220,304,8062,138,2,12
2017,11,,,,,,,18.5,18.5,,,0583,NH,SY17-18,11/1/2017,Nashua Childrens Home,,,,,,,,,,,,,,,,,NH@000@0583,61.675675676,1141,43.567567568,806,,,,,,,,18.5,,,,,,,,,125 Amherst Street,Nashua,3064,Hillsborough,806,0,39,1141,0,0
2018,5,,,,,,,18.5,18.5,,,0014,NH,SY17-18,5/1/2018,Epping SAU Office,,,,,,,,,,,,,,,,,NH@000@0014,74.432432432,1377,185.189189189,3426,,,,,,,,18.5,,,,,,,,,213 Main Street,Epping,3042,Rockingham,2909,517,6391,1155,222,1297
2018,1,,,,,,,18.5,18.5,,,0021,NH,SY17-18,1/1/2018,Winnacunnet SAU Office,,,,,,,,,,,,,,,,,NH@000@0021,161.027027027,2979,317.621621622,5876,,,,,,,,18.5,,,,,,,,,2 Alumni Drive,Hampton,3844,Rockingham,5016,860,11681,2627,352,2075
2018,6,,,,,,,18.5,18.5,,,0583,NH,SY17-18,6/1/2018,Nashua Childrens Home,,,,,,,,,,,,,,,,,NH@000@0583,61.837837838,1144,46.810810811,866,,,,,,,,18.5,,,,,,,,,125 Amherst Street,Nashua,3064,Hillsborough,851,15,41,1144,0,0
2017,8,,,,,,,18.5,18.5,,,0011,NH,SY17-18,8/1/2017,Dover SAU Office,,,,,,,,,,,,,,,,,NH@000@0011,13.189189189,244,63.621621622,1177,,,,,,,,18.5,,,,,,,,,McConnell Center,Dover,3820,Strafford,1022,155,1676,229,15,60
2018,5,,,,,,,18.5,18.5,,,0005,NH,SY17-18,5/1/2018,Oyster River SAU Office,,,,,,,,,,,,,,,,,NH@000@0005,42.432432432,785,124.162162162,2297,,,,,,,,18.5,,,,,,,,,36 Coe Drive,Durham,3824,Strafford,1783,514,13250,590,195,1425
2018,4,,,,,,,18.5,18.5,,,0056,NH,SY17-18,4/1/2018,Somersworth SAU Office,,,,,,,,,,,,,,,,,NH@000@0056,243.945945946,4513,448.378378378,8295,,,,,,,,18.5,,,,,,,,,51 West High Street,Somersworth,3878,Strafford,6967,1328,5255,3929,584,1088
2018,2,,,,,,,18.5,18.5,,,0002,NH,SY17-18,2/1/2018,Inter-Lakes Cooperative SAU Office,,,,,,,,,,,,,,,,,NH@000@0002,112.648648649,2084,257.405405405,4762,,,,,,,,18.5,,,,,,,,,"103 Main St, Suite #2",Meredith,3217,Grafton,4194,568,4624,1921,163,620
