IRN,ORGANIZATION NAME,SCHOOL TYPE,ORGANIZATION TYPE,DESIGNATED COUNTY,ORG MAILING ADDRESS,PARENT IRN
142950,Ohio Virtual Academy,Community School Startup,Community School,Lucas,"1690 Woodlands Dr Ste 200, Maumee, Ohio, 43537",14982
142950,Ohio Virtual Academy,Virtual School,Community School,Lucas,"1690 Woodlands Dr Ste 200, Maumee, Ohio, 43537",14982
142968,Hope Academy Northcoast,Elementary School,Community School,Cuyahoga,"4310 E 71st St, Cleveland, Ohio, 44105",15427
142968,Hope Academy Northcoast,Community School Startup,Community School,Cuyahoga,"4310 E 71st St, Cleveland, Ohio, 44105",15427
143008,Bowling Green Christian Acdmy,High School,Nonpublic School,Wood,"1165 Haskins Rd, Bowling Green, Ohio, 43402",143008
143032,Dublin Prep Academy,Elementary School,Nonpublic School,Franklin,"5720 Avery Rd, Dublin, Ohio, 43016",143032
143032,Dublin Prep Academy,Indicator that identifies a Chartered Nonpublic school as a non-religious based school,Nonpublic School,Franklin,"5720 Avery Rd, Dublin, Ohio, 43016",143032
143040,Bethlehem Lutheran School,Elementary School,Nonpublic School,Greene,"1240 S Maple Ave, Fairborn, Ohio, 45324",52597
143081,Beatrice J. Stone Yavne,High School,Nonpublic School,Cuyahoga,"2475 S Green Rd, Beachwood, Ohio, 44122",135335
143099,Liberty Bible Academy,Elementary School,Nonpublic School,Warren,"4900 Old Irwin Simpson Rd, Mason, Ohio, 45040",143099
143115,Mound Street IT Careers Academy,High School,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143115,Mound Street IT Careers Academy,Community School Startup,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143115,Mound Street IT Careers Academy,Dropout Recovery,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143123,Mound Street Military Careers Academy,High School,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143123,Mound Street Military Careers Academy,Community School Startup,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143123,Mound Street Military Careers Academy,Dropout Recovery,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143131,Mound Street Health Careers Academy,High School,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143131,Mound Street Health Careers Academy,Community School Startup,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143131,Mound Street Health Careers Academy,Dropout Recovery,Community School,Montgomery,"354 Mound St, Dayton, Ohio, 45402",N/A
143172,International Acad Of Columbus,Elementary School,Community School,Franklin,"2439 Fuji Dr, Columbus, Ohio, 43229",N/A
143172,International Acad Of Columbus,Community School Startup,Community School,Franklin,"2439 Fuji Dr, Columbus, Ohio, 43229",N/A
143198,Great Western Academy,Elementary School,Community School,Franklin,"310 N Wilson Rd, Columbus, Ohio, 43204",14995
143198,Great Western Academy,Community School Startup,Community School,Franklin,"310 N Wilson Rd, Columbus, Ohio, 43204",14995
143206,Trotwood Preparatory & Fitness Academy,Elementary School,Community School,Montgomery,"3100 Shiloh Springs Rd, Trotwood, Ohio, 45426",14997
143206,Trotwood Preparatory & Fitness Academy,Community School Startup,Community School,Montgomery,"3100 Shiloh Springs Rd, Trotwood, Ohio, 45426",14997
143214,Middletown Preparatory & Fitness Academy,Elementary School,Community School,Butler,"816 2nd Ave, Middletown, Ohio, 45044",14997
143214,Middletown Preparatory & Fitness Academy,Community School Startup,Community School,Butler,"816 2nd Ave, Middletown, Ohio, 45044",14997
143230,The Islamic School of Greater Toledo,Elementary School,Nonpublic School,Wood,"25877 Scheider Rd, Perrysburg, Ohio, 43551",143230
143248,Faith Islamic Academy,Elementary School,Nonpublic School,Summit,"152 E Steels Corners Rd, Cuyahoga Falls, Ohio, 44224",143248
143297,The Autism Academy Of Learning,High School,Community School,Lucas,"110 Arco Dr, Toledo, Ohio, 43607",N/A
143297,The Autism Academy Of Learning,Community School Startup,Community School,Lucas,"110 Arco Dr, Toledo, Ohio, 43607",N/A
143305,TRECA Digital Academy,High School,Community School,Marion,"100 Executive Dr, Marion, Ohio, 43302",85647
143305,TRECA Digital Academy,Community School Startup,Community School,Marion,"100 Executive Dr, Marion, Ohio, 43302",85647
143305,TRECA Digital Academy,Virtual School,Community School,Marion,"100 Executive Dr, Marion, Ohio, 43302",85647
143305,TRECA Digital Academy,Dropout Recovery,Community School,Marion,"100 Executive Dr, Marion, Ohio, 43302",85647
143313,West Preparatory Academy,Elementary School,Community School,Cuyahoga,"13111 Crossburn Ave, Cleveland, Ohio, 44135",14987
143313,West Preparatory Academy,Community School Startup,Community School,Cuyahoga,"13111 Crossburn Ave, Cleveland, Ohio, 44135",14987
143396,Alternative Education Academy,High School,Community School,Lucas,"1830 Adams St, Toledo, Ohio, 43624",16835
143396,Alternative Education Academy,Community School Startup,Community School,Lucas,"1830 Adams St, Toledo, Ohio, 43624",16835
143396,Alternative Education Academy,Virtual School,Community School,Lucas,"1830 Adams St, Toledo, Ohio, 43624",16835
143479,Constellation Schools: Puritas Community Elementary,Elementary School,Community School,Cuyahoga,"15204 Puritas Ave, Cleveland, Ohio, 44135",14981
143479,Constellation Schools: Puritas Community Elementary,Community School Startup,Community School,Cuyahoga,"15204 Puritas Ave, Cleveland, Ohio, 44135",14981
143487,Constellation Schools: Stockyard Community Elementary,Middle School,Community School,Cuyahoga,"3200 W 65th St, Cleveland, Ohio, 44102",14981
143487,Constellation Schools: Stockyard Community Elementary,Community School Startup,Community School,Cuyahoga,"3200 W 65th St, Cleveland, Ohio, 44102",14981
143529,North Dayton School Of Science & Discovery,Elementary School,Community School,Montgomery,"3901 Turner Rd, Dayton, Ohio, 45415",14980
143529,North Dayton School Of Science & Discovery,Community School Startup,Community School,Montgomery,"3901 Turner Rd, Dayton, Ohio, 45415",14980
143552,Eagle Academy,Junior High School,Community School,Lucas,"1430 Idaho St, Toledo, Ohio, 43605",14977
143552,Eagle Academy,Community School Startup,Community School,Lucas,"1430 Idaho St, Toledo, Ohio, 43605",14977
143560,Richard Allen Academy II,Elementary School,Community School,Montgomery,"184 Salem Ave, Dayton, Ohio, 45406",15080
143560,Richard Allen Academy II,Community School Startup,Community School,Montgomery,"184 Salem Ave, Dayton, Ohio, 45406",15080
143578,Richard Allen Academy III,Elementary School,Community School,Butler,"1206 Shuler Ave, Hamilton, Ohio, 45011",15080
143578,Richard Allen Academy III,Community School Startup,Community School,Butler,"1206 Shuler Ave, Hamilton, Ohio, 45011",15080
143602,Hamilton Cnty Math & Science,Elementary School,Community School,Hamilton,"2675 Civic Center Dr, Cincinnati, Ohio, 45231",N/A
143602,Hamilton Cnty Math & Science,Community School Startup,Community School,Hamilton,"2675 Civic Center Dr, Cincinnati, Ohio, 45231",N/A
143610,Arts & College Preparatory Academy,High School,Community School,Franklin,"4401 Hilton Corporate Dr, Columbus, Ohio, 43232",N/A
143610,Arts & College Preparatory Academy,Community School Startup,Community School,Franklin,"4401 Hilton Corporate Dr, Columbus, Ohio, 43232",N/A
143644,Sciotoville,High School,Community School,Scioto,"224 Marshall St, Portsmouth, Ohio, 45662",N/A
143644,Sciotoville,Community School Startup,Community School,Scioto,"224 Marshall St, Portsmouth, Ohio, 45662",N/A
144865,Kings Mills Educational Center,Elementary School,Public School,Warren,"1797 Kings Mills Rd, Kings Mills, Ohio, 45034",50435
144881,Henry Defer Intermediate Elementary School,Elementary School,Public School,Portage,"1895 Annalane Dr, Streetsboro, Ohio, 44241",49239
145078,Pickerington Lakeview Junior High,Junior High School,Public School,Fairfield,"12445 Ault Rd, Pickerington, Ohio, 43147",46896
145086,Pickerington High School North,High School,Public School,Fairfield,"7800 Refugee Rd, Pickerington, Ohio, 43147",46896
145292,Hill Intermediate Elementary School,Elementary School,Public School,Clermont,"150 Fossyl Dr, Bethel, Ohio, 45106",46318
145300,Bick Primary Elementary School,Elementary School,Public School,Clermont,"101 Fossyl Dr, Bethel, Ohio, 45106",46318
145352,Maysville Elementary School,Elementary School,Public School,Muskingum,"3850 Panther Dr, Zanesville, Ohio, 43701",48850
145391,Alliance Middle School,Middle School,Public School,Stark,"3205 S Union Ave, Alliance, Ohio, 44601",43497
