Unique ID,School ID,District ID,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,School Level-Original,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Enrollment-Total,Claim Date,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid
NV@002-420@002,002-420,002,Clark,Advanced Technologies Academy High School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,773,200,186,,,14,,,,,,,,,NV,4087,291.928571429,973,69.5,,SY17-18,,533,0.470432480,High,,,,,,,,9-12,383,150,533,1133,8/1/2017,14,3171,916,1464
NV@002-178@002,002-178,002,Clark,Alamo Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,1244,220,427,,,14,,,,,,,,,NV,4324,308.857142857,1464,104.571428571,,SY17-18,,510,0.492753623,Primary,,,,,,,,PK-5,402,108,510,1035,8/1/2017,14,3529,795,2050
NV@002-151@002,002-151,002,Clark,Allen Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,257,57,104,,,14,,,,,,,,,NV,1094,78.142857143,314,22.428571429,,SY17-18,,170,0.293103448,Primary,,,,,,,,PK-5,148,22,170,580,8/1/2017,14,946,148,752
NV@002-140@002,002-140,002,Clark,Antonello Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,1084,164,148,,,14,,,,,,,,,NV,3029,216.357142857,1248,89.142857143,,SY17-18,,385,0.670731707,Primary,,,,,,,,PK-5,297,88,385,574,8/1/2017,14,2508,521,602
NV@002-618@002,002-618,002,Clark,Arbor View High School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,925,202,153,,,14,,,,,,,,,NV,4105,293.214285714,1127,80.5,,SY17-18,,931,0.295743329,High,,,,,,,,9-12,703,228,931,3148,8/1/2017,14,3157,948,1599
NV@002-357@002,002-357,002,Clark,Bailey Middle School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,5009,0,483,,,14,,,,,,,,,NV,12398,885.571428571,5009,357.785714286,,SY17-18,,1201,0.912020009,Middle,,,,,,,,6-8,,,1201,1345,8/1/2017,14,12398,0,1196
NV@002-095@002,002-095,002,Clark,"Bailey, Roberts Elementary School",CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,Y,,N,,,8,2017,,,4708,0,824,,,14,,,,,,,,,NV,9023,644.5,4708,336.285714286,,SY17-18,,798,0.850985570,Primary,,,,,,,,PK-5,,,798,978,8/1/2017,14,9023,0,1580
NV@002-137@002,002-137,002,Clark,Bartlett Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,426,116,181,,,14,,,,,,,,,NV,1798,128.428571429,542,38.714285714,,SY17-18,,244,0.305381727,Primary,,,,,,,,PK-5,192,52,244,799,8/1/2017,14,1443,355,1089
NV@002-406@002,002-406,002,Clark,Basic High School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,2642,246,141,,,14,,,,,,,,,NV,6262,447.285714286,2888,206.285714286,,SY17-18,,1293,0.515755884,High,,,,,,,,9-12,1116,177,1293,2507,8/1/2017,14,5611,651,499
NV@002-280@002,002-280,002,Clark,Bass Elementary School,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,,,,,,,N,,N,,,8,2017,,,865,178,250,,,14,,,,,,,,,NV,3523,251.642857143,1043,74.5,,SY17-18,,468,0.564535585,Primary,,,,,,,,PK-5,391,77,468,829,8/1/2017,14,2920,603,1270
