Unique ID,School ID,District ID,State-Reporting,County,School Name,District Name,State-Physical,City,Zip Code,Street Address-Line 1,Street Address-Line 2,School Level-Original,School Type-Original,CEP (Y/N),Provision 1 (Y/N),Provision 2 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Claim Month,Claim Year,Enrollment-Total,Enrollment-Paid,Enrollment-Free,Enrollment-Reduced,Enrollment-Free and Reduced,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,School Year,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,Operating Days-Lunch Only,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,Claim Date
NV@012-202@012,012-202,012,NV,Nye,Tonopah Elementary School,Nye County School District,,,,,,PK-5,,N,,N,,,1,2017,181,,64,10,74,,339,35,78,,,19,,,,,,,,,1128,59.368421053,374,19.684210526,320036000194,SY16-17,,74,0.408839779,Primary,,,,,,,,19,1032,96,1016,1/1/2017
NV@012-603@012,012-603,012,NV,Nye,Tonopah High School,Nye County School District,,,,,,9-12,,N,,N,,,1,2017,118,,28,8,36,,193,37,179,,,19,,,,,,,,,368,19.368421053,230,12.105263158,320036000195,SY16-17,,36,0.305084746,High,,,,,,,,19,321,47,508,1/1/2017
NV@012-312@012,012-312,012,NV,Nye,Tonopah Middle School,Nye County School District,,,,,,6-8,,N,,N,,,1,2017,81,,28,4,32,,184,4,36,,,19,,,,,,,,,543,28.578947368,188,9.894736842,320036000618,SY16-17,,32,0.395061728,Middle,,,,,,,,19,494,49,557,1/1/2017
NV@SD358@GD400,SD358,GD400,NV,,Our Lady of the Snows,OUR LADY OF THE SNOWS SCHOOL,,,,,,,,,,,,,1,2017,,,,,,,0,0,0,,,0,,,,,,,,,0,,0,,,SY16-17,,,,,,,,,,,,0,0,0,0,1/1/2017
NV@014-101@014,014-101,014,NV,Pershing,Imlay Elementary School,PERSHING COUNTY SCHOOL DISTRICT,,,,,,PK-5,,Y,,N,,,1,2017,10,,,,7,,107,0,53,,,16,,,,,,,,,100,6.25,107,6.6875,320042000196,SY16-17,,7,0.666666667,Primary,,,,,,,,16,100,0,50,1/1/2017
NV@014-201@014,014-201,014,NV,Pershing,Lovelock Elementary School,PERSHING COUNTY SCHOOL DISTRICT,,,,,,PK-5,,N,,N,,,1,2017,326,,122,22,144,,1671,280,795,,,16,,,,,,,,,1978,123.625,1951,121.9375,320042000197,SY16-17,,144,0.441717791,Primary,,,,,,,,16,1693,285,641,1/1/2017
NV@014-301@014,014-301,014,NV,Pershing,Pershing County Middle School,PERSHING COUNTY SCHOOL DISTRICT,,,,,,6-8,,N,,N,,,1,2017,121,,46,8,54,,456,61,312,,,16,,,,,,,,,698,43.625,517,32.3125,320042000167,SY16-17,,54,0.446280992,Middle,,,,,,,,16,605,93,389,1/1/2017
NV@014-601@014,014-601,014,NV,Pershing,Pershing High School,PERSHING COUNTY SCHOOL DISTRICT,,,,,,9-12,,N,,N,,,1,2017,206,,52,11,63,,508,53,386,,,16,,,,,,,,,559,34.9375,561,35.0625,320042000198,SY16-17,,63,0.305825243,High,,,,,,,,16,458,101,235,1/1/2017
NV@SD359@GD401,SD359,GD401,NV,,PINECREST ACADEMY CADENCE CAMPUS,PINECREST ACADEMY OF NEVADA,,,,,,,,,,,,,1,2017,,,,,,,0,0,0,,,0,,,,,,,,,2683,134.15,0,,,SY16-17,,,,,,,,,,,,20,1833,850,952,1/1/2017
NV@SD360@GD401,SD360,GD401,NV,,PINECREST HORIZON OF NV CAMPUS,PINECREST ACADEMY OF NEVADA,,,,,,,,,,,,,1,2017,,,,,,,0,0,0,,,0,,,,,,,,,2054,102.7,0,,,SY16-17,,,,,,,,,,,,20,1549,505,3056,1/1/2017
NV@SD361@GD401,SD361,GD401,NV,,PINECREST INSPIRADA OF NV CAMPUS,PINECREST ACADEMY OF NEVADA,,,,,,,,,,,,,1,2017,,,,,,,0,0,0,,,0,,,,,,,,,379,31.583333333,0,,,SY16-17,,,,,,,,,,,,12,220,159,511,1/1/2017
