Provision 2 (Y/N),Claim Date,ISP,School Level-Original,Enrollment-Total,Enrollment-Free and Reduced,Enrollment-Free,Enrollment-Reduced,School Year,Claim Year,Unique ID,School ID,District ID,State-Physical,Street Address-Line 1,Street Address-Line 2,School Type-Original,Provision 1 (Y/N),Provision 3 (Y/N),Universal Free (Y/N),Enrollment-Paid,Lunch Meals-Free and Reduced,Breakfast Meals-Free,Breakfast Meals-Reduced,Breakfast Meals-Paid,Breakfast Meals-Free and Reduced,Operating Days,Operating Days-Breakfast Only,Breakfast Delivery Model from Campaign Tracking Data-Original,Breakfast Delivery Model from State Agency Tracking-Original,Breakfast Delivery Model from Other Source-Original,"Breakfast Delivery Model from Other Source, Note Source Here",BAB Implementation Date from Campaign Tracking Data,BAB Implementation Date from State Agency Tracking,BAB Implementation Date from Other Source,"BAB Implementation Date Other Source, Note Source Here",State-Reporting,FR Lunch Meals,FR Lunch ADP,FR Breakfast Meals,FR Breakfast ADP,NCES ID,Target Area,FR Enrollment,FR Enrollment Percentage,School Level-Standardized,School Type-Standardized,Breakfast Delivery Model from Grants Data-Standardized,Breakfast Delivery Model from Innovations Data-Standardized,Breakfast Delivery Model from Campaign Tracking Data-Standardized,Breakfast Delivery Model from State Agency Tracking-Standardized,Breakfast Delivery Model from Other Source-Standardized,BAB Implementation Date from Grants Data,District Name,School Name,City,Zip Code,County,Lunch Meals-Free,Lunch Meals-Reduced,Lunch Meals-Paid,CEP (Y/N),Claim Month,Operating Days-Lunch Only
,7/1/2013,,,,,,,SY13-14,2013,NV@1503@1043,1503,1043,,,,,,,,,,445,147,483,,,21,,,,,,,,,NV,851,40.523809524,592,28.190476190,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Rhodes Elementary School,,,Clark,565,286,608,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1510@1043,1510,1043,,,,,,,,,,175,0,0,,,20,,,,,,,,,NV,179,8.95,175,8.75,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Sandy Valley Elementary School,,,Clark,179,0,0,N,7,20
,7/1/2013,,,,,,,SY13-14,2013,NV@3166@1043,3166,1043,,,,,,,,,,0,0,0,,,0,,,,,,,,,NV,0,,0,,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,"Schorr, Steven Elementary School",,,Clark,0,0,0,N,7,0
,7/1/2013,,,,,,,SY13-14,2013,NV@20@1043,20,1043,,,,,,,,,,2087,0,0,,,21,,,,,,,,,NV,2010,95.714285714,2087,99.380952381,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Scott Elementary School,,,Clark,2010,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1512@1043,1512,1043,,,,,,,,,,2615,0,0,,,21,,,,,,,,,NV,2382,113.428571429,2615,124.523809524,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Sewell Elementary School,,,Clark,2382,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@3031@1043,3031,1043,,,,,,,,,,951,172,277,,,19,,,,,,,,,NV,1421,74.789473684,1123,59.105263158,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Sierra Vista High School,,,Clark,1187,234,469,N,7,19
,7/1/2013,,,,,,,SY13-14,2013,NV@1518@1043,1518,1043,,,,,,,,,,1653,0,0,,,20,,,,,,,,,NV,1618,80.9,1653,82.65,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,"Stewart, Helen Elementary School",,,Clark,1618,0,0,N,7,20
,7/1/2013,,,,,,,SY13-14,2013,NV@2965@1043,2965,1043,,,,,,,,,,1271,0,0,,,21,,,,,,,,,NV,1260,60,1271,60.523809524,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Tanaka Elementary School,,,Clark,1260,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1524@1043,1524,1043,,,,,,,,,,2673,0,0,,,21,,,,,,,,,NV,2457,117,2673,127.285714286,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Thomas Elementary School,,,Clark,2457,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1526@1043,1526,1043,,,,,,,,,,2419,0,0,,,21,,,,,,,,,NV,2458,117.047619048,2419,115.190476190,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Tobler Elementary School,,,Clark,2458,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@1528@1043,1528,1043,,,,,,,,,,2388,0,0,,,20,,,,,,,,,NV,2677,127.476190476,2388,119.4,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Treem Elementary School,,,Clark,2677,0,0,N,7,21
,7/1/2013,,,,,,,SY13-14,2013,NV@103@1043,103,1043,,,,,,,,,,1307,0,0,,,20,,,,,,,,,NV,1340,67,1307,65.35,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Variety-Secondary,,,Clark,1340,0,0,N,7,20
,7/1/2013,,,,,,,SY13-14,2013,NV@1534@1043,1534,1043,,,,,,,,,,1152,0,0,,,21,,,,,,,,,NV,1173,55.857142857,1152,54.857142857,,,,,,,,,,,,,CLARK COUNTY SCHOOL DISTRICT FOOD SERVICE,Virgin Valley Elementary School,,,Clark,1173,0,0,N,7,21
